Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
B. Beal | M. Gortat | M. Morris | O. Porter | J. Wall,WAS,2016-17,69,1347.4,2716,2692,96.3,+114,+116,+.024,+15,-45,+.045,+.024,+2,-5,+.011,+245
G. Dieng | Z. LaVine | R. Rubio | K. Towns | A. Wiggins,MIN,2016-17,41,879.8,1719,1699,93.2,-15,-25,-.002,-61,-115,-.041,-0.021,+74,+86,+.020,-17
B. Griffin | D. Jordan | L. Mbah a Moute | C. Paul | J. Redick,LAC,2016-17,46,870.6,1706,1708,94.1,+63,-117,+.078,-7,-53,+.037,+.081,+132,+210,-.071,+251
N. Batum | M. Kidd-Gilchrist | K. Walker | M. Williams | C. Zeller,CHO,2016-17,47,783.4,1535,1550,94.5,-1,-1,.000,-41,-82,-.023,-0.015,+132,+152,+.039,+89
S. Adams | V. Oladipo | A. Roberson | D. Sabonis | R. Westbrook,OKC,2016-17,52,630.0,1247,1241,94.8,+34,-26,+.040,-24,-28,-.048,+.031,+15,+36,-.047,+59
M. Ellis | P. George | J. Teague | M. Turner | T. Young,IND,2016-17,57,602.4,1230,1218,97.5,0,-68,+.031,-18,-95,+.058,+.026,+2,+3,-.002,-16
G. Dieng | R. Rubio | B. Rush | K. Towns | A. Wiggins,MIN,2016-17,39,596.1,1165,1167,93.9,+3,-47,+.025,-37,-134,+.042,+.009,+49,+44,+.057,+18
S. Curry | K. Durant | D. Green | Z. Pachulia | K. Thompson,GSW,2016-17,43,532.0,1107,1105,99.8,+74,-6,+.078,+62,+60,+.111,+.110,+59,+51,+.101,+269
R. Anderson | T. Ariza | P. Beverley | C. Capela | J. Harden,HOU,2016-17,42,504.8,1021,1013,96.7,+20,+44,-.002,+79,+187,+.017,+.038,+60,+92,-.059,+179
K. Caldwell-Pope | A. Drummond | T. Harris | M. Morris | I. Smith,DET,2016-17,64,492.8,963,958,93.6,-13,+13,-.022,-26,-51,-.028,-0.037,-12,+13,-.118,-64
K. Irving | L. James | K. Love | J. Smith | T. Thompson,CLE,2016-17,27,454.0,906,910,96.0,-10,-14,-.004,+42,+56,+.069,+.022,+30,+41,-.005,+52
P. George | C. Miles | J. Teague | M. Turner | T. Young,IND,2016-17,45,443.5,866,874,94.2,+33,-1,+.044,+8,-22,+.065,+.049,-8,-26,+.068,+66
A. Bradley | J. Crowder | A. Horford | A. Johnson | I. Thomas,BOS,2016-17,36,432.9,849,838,93.5,+26,-10,+.039,+52,+77,+.084,+.072,-39,-53,+.014,+65
K. Bazemore | D. Howard | P. Millsap | D. Schroder | T. Sefolosha,ATL,2016-17,36,424.8,849,848,95.9,-8,-46,+.017,-49,-101,-.055,-0.013,+29,+78,-.145,-36
E. Fournier | A. Gordon | E. Payton | T. Ross | N. Vucevic,ORL,2016-17,19,409.9,863,849,100.2,+7,+17,-.002,0,-17,+.030,-0.003,+14,+4,+.064,+28
K. Caldwell-Pope | A. Drummond | R. Jackson | J. Leuer | M. Morris,DET,2016-17,37,404.6,789,790,93.7,-26,+69,-.081,-17,-2,-.081,-0.097,-13,+7,-.140,-82
L. Deng | T. Mozgov | J. Randle | D. Russell | N. Young,LAL,2016-17,28,402.8,804,805,95.9,+11,+27,-.002,+36,+35,+.099,+.020,-12,-15,-.003,+46
C. Anthony | C. Lee | J. Noah | K. Porzingis | D. Rose,NYK,2016-17,28,395.6,782,778,94.6,-12,+2,-.017,-14,-53,+.032,-0.027,-10,-7,-.033,-48
L. Aldridge | P. Gasol | D. Green | K. Leonard | T. Parker,SAS,2016-17,35,392.0,752,750,92.0,+33,-8,+.053,0,-20,+.048,+.054,+1,-1,+.012,+67
J. Butler | T. Gibson | R. Lopez | R. Rondo | D. Wade,CHI,2016-17,30,390.4,762,768,94.1,+2,+27,-.015,-37,-71,-.073,-0.043,+40,+28,+.145,+7
G. Antetokounmpo | M. Dellavedova | J. Henson | J. Parker | T. Snell,MIL,2016-17,30,389.1,785,777,96.4,+10,-18,+.026,-19,-33,-.036,+.014,-14,-3,-.063,-13
K. Caldwell-Pope | A. Drummond | T. Harris | R. Jackson | M. Morris,DET,2016-17,42,385.2,749,732,92.3,-24,+29,-.056,-11,+27,-.098,-0.067,-12,+3,-.106,-71
P. George | G. Robinson | J. Teague | M. Turner | T. Young,IND,2016-17,28,376.3,770,776,98.6,+8,-61,+.054,-7,-39,+.040,+.054,+43,+63,-.057,+52
D. Carroll | D. DeRozan | K. Lowry | P. Siakam | J. Valanciunas,TOR,2016-17,32,364.3,696,703,92.2,-29,-4,-.042,-36,-70,-.044,-0.070,+13,-1,+.115,-81
E. Fournier | A. Gordon | S. Ibaka | E. Payton | N. Vucevic,ORL,2016-17,38,296.3,579,572,93.2,+16,+32,+.001,-13,-20,-.046,-0.014,-25,-31,-.017,-6
E. Bledsoe | D. Booker | T. Chandler | M. Chriss | T. Warren,PHO,2016-17,26,294.9,606,599,98.1,-27,-11,-.041,-18,-12,-.094,-0.057,+41,+48,+.022,-31
E. Bledsoe | D. Booker | T. Chandler | M. Chriss | P. Tucker,PHO,2016-17,33,283.9,566,565,95.6,-9,+31,-.047,-5,+19,-.085,-0.056,-2,-2,-.003,-25
T. Allen | M. Conley | M. Gasol | J. Green | C. Parsons,MEM,2016-17,25,281.0,531,537,91.2,-6,+6,-.019,-12,-17,-.040,-0.033,-12,-37,+.167,-36
R. Anderson | T. Ariza | C. Capela | E. Gordon | J. Harden,HOU,2016-17,43,273.3,538,559,96.3,-20,-22,-.020,+33,+79,+.053,+.016,+30,+45,-.040,+23
