Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Anthony Davis,Kentucky,2012,FR,169.88,235.22,405.1
Kemba Walker,Connecticut,2011,JR,269.18,71.25,340.43
Frank Kaminsky,Wisconsin,2015,SR,190.29,116.17,306.46
Jae Crowder,Marquette,2012,SR,182.86,122.6,305.46
Delon Wright,Utah,2015,SR,164.56,138.38,302.94
Victor Oladipo,Indiana,2013,JR,171.79,129.28,301.07
Sindarius Thornwell,South Carolina,2017,SR,174.98,123.41,298.39
Shabazz Napier,Connecticut,2014,SR,195.73,97.87,293.6
Denzel Valentine,Michigan State,2016,SR,212.75,79.99,292.74
Lonzo Ball,UCLA,2017,FR,203.83,82,285.83
Trey Burke,Michigan,2013,SO,224.73,52.21,276.94
Jon Diebler,Ohio State,2011,SR,212.17,58.46,270.63
Delon Wright,Utah,2014,JR,126.67,138.92,265.59
Gorgui Dieng,Louisville,2013,JR,70.68,194.37,265.05
Ethan Happ,Wisconsin,2017,SO,108.44,155.15,263.59
Jordan Bell,Oregon,2017,JR,89.06,174.25,263.31
Nigel Williams-Goss,Gonzaga,2017,JR,139.75,122.01,261.76
Draymond Green,Michigan State,2012,SR,112.53,147.31,259.84
Jevon Carter,West Virginia,2017,JR,141.8,116.4,258.2
Rick Jackson,Syracuse,2011,SR,87.04,169.84,256.88
Kenrich Williams,Texas Christian,2017,JR,146.81,109.59,256.4
Jeff Withey,Kansas,2013,SR,54.3,199.09,253.39
Gorgui Dieng,Louisville,2012,SO,18.13,233.4,251.53
Ben Simmons,Louisiana State,2016,FR,135.39,116.05,251.44
T.J. McConnell,Arizona,2015,SR,138.18,112.52,250.7
Aaron Craft,Ohio State,2012,SO,112.89,136.32,249.21
Frank Mason,Kansas,2017,SR,213.95,34.88,248.83
Marcus Smart,Oklahoma State,2014,SO,146.8,100.93,247.73
Willie Cauley-Stein,Kentucky,2015,JR,78.73,167.5,246.23
K.J. McDaniels,Clemson,2014,JR,106.23,138.48,244.71
Buddy Hield,Oklahoma,2016,SR,208.57,33.04,241.61
Reggie Bullock,North Carolina,2013,JR,179.16,62.4,241.56
Josh Hart,Villanova,2017,SR,160.68,78.38,239.06
Ben Lammers,Georgia Tech,2017,JR,38.55,199.57,238.12
Draymond Green,Michigan State,2011,JR,109.75,127.17,236.92
Otto Porter,Georgetown,2013,SO,128.16,108.58,236.74
D'Angelo Russell,Ohio State,2015,FR,175.74,60.6,236.34
Mikal Bridges,Villanova,2017,SO,114.56,121.61,236.17
Jackson Emery,Brigham Young,2011,SR,150.01,86.03,236.04
Michael Carter-Williams,Syracuse,2013,SO,111.91,123.81,235.72
Karl-Anthony Towns,Kentucky,2015,FR,88.4,146.88,235.28
Marcus Paige,North Carolina,2015,JR,178.62,56.53,235.15
Denzel Valentine,Michigan State,2015,JR,170.79,64.32,235.11
Kyle Anderson,UCLA,2014,SO,101.33,133.67,235
