Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%
A.J. Hammons,132,3201,613,1138,607,1115,6,23,361,523,314,616,930,104,50,343,271,325.0,1593.0,1448.0,6.9,6.8,13.8,25.4748203686,11.3265542018,21.7293033427,16.5930959075,7.49740706029,0.969728209934,11.1403311465,16.4218994064,26.1470790378,108.33161512,93.7417369572,1.18378631678,6.81827553889,7.97750702905,7.66010621681,14.2205560762,7.58512964699,13.9331458919,0.0749765698219,0.287410184317,4.51109028429,6.53545766948,3.92377382068,7.69759450172,11.6213683224,1.29959387691,0.624804748516,4.28616057482,3.38644173696,4.06123086535,19.9062792877,58.2185773178,0.459578207381,0.0202108963093,0.538664323374,0.544394618834,0.260869565217,0.690248565966,0.541300527241
Aaron Gordon,38,1187,189,382,173,337,16,45,76,180,102,201,303,75,34,39,55,90.0,470.0,469.0,2.1,3.3,5.4,20.4,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,108.9,88.6,2.8,6.7,9.6,6.36899747262,12.8727885425,5.8298230834,11.3563605729,0.539174389217,1.51642796967,2.56107834878,6.06571187869,3.43723673126,6.77337826453,10.2106149958,2.52737994945,1.14574557709,1.31423757372,1.85341196293,3.03285593934,15.8382476832,50.9540329575,0.471204188482,0.11780104712,0.494764397906,0.513353115727,0.355555555556,0.422222222222,0.515706806283
Aaron Harrison,79,2307,320,781,199,420,121,361,218,277,40,178,218,129,86,18,100,146.0,979.0,887.0,5.8,4.3,10.3,17.4481577807,2.12592110967,8.40927611617,5.4611183355,11.3824013871,2.30463805808,0.76944083225,9.90273081925,22.3574338968,117.641612484,97.3368443866,5.31296055483,2.41391417425,7.72687472909,5.54833116602,13.5413957521,3.45036844387,7.2821846554,2.09796272215,6.25921109666,3.77980060685,4.80277416558,0.693541395752,3.0862592111,3.77980060685,2.2366710013,1.49111400087,0.312093628088,1.73385348938,2.5314260945,16.974425661,54.2153996101,0.354673495519,0.462227912932,0.409731113956,0.47380952381,0.335180055402,0.787003610108,0.487195902689
Adonis Thomas,55,1511,223,523,182,397,41,126,102,137,69,153,222,84,35,39,82,76.0,589.0,557.0,2.4,2.2,4.6,15.8096624752,4.70225016545,12.2096624752,8.65056254136,8.27663798809,1.36988749173,2.95909993382,13.0977498345,20.9431502316,104.938649901,98.4107875579,0.878424884183,1.65909993382,2.537524818,5.90337524818,13.8451356717,4.81800132363,10.5095962938,1.08537392455,3.3355393779,2.70019854401,3.62673726009,1.82660489742,4.05029781602,5.87690271343,2.2236929186,0.926538716082,1.03242885506,2.17074784911,2.01191264064,15.5923229649,50.4903305445,0.261950286807,0.240917782027,0.42638623327,0.458438287154,0.325396825397,0.744525547445,0.465583173996
Adreian Payne,138,2759,447,850,386,701,61,149,277,367,211,524,735,85,76,141,187,297.0,1232.0,1117.0,7.0,6.2,13.2,20.875498369,10.4856832186,21.5006524103,16.0606741573,5.17122145705,1.83106197898,7.06774193548,17.0209858644,20.7164914824,108.978724175,91.3546574846,1.35951431678,5.29507067778,6.65458499456,6.48060891627,12.3233055455,5.5962305183,10.1631025734,0.88437839797,2.16020297209,4.01594780718,5.32076839435,3.05907937659,7.59695541863,10.6560347952,1.23233055455,1.10184849583,2.0442189199,2.71112722001,4.30590793766,17.8615440377,60.9008581485,0.431764705882,0.175294117647,0.525882352941,0.550641940086,0.409395973154,0.754768392371,0.561764705882
Al-Farouq Aminu,31,970,167,374,149,308,18,66,139,199,133,199,332,41,44,44,99,91.0,491.0,488.0,2.0,2.2,4.3,24.4,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,105.1,91.0,0.0,0.0,0.0,6.88659793814,15.4226804124,6.14432989691,12.7010309278,0.742268041237,2.72164948454,5.73195876289,8.20618556701,5.48453608247,8.20618556701,13.6907216495,1.69072164948,1.81443298969,1.81443298969,4.0824742268,3.75257731959,20.2474226804,53.1891845047,0.532085561497,0.176470588235,0.446524064171,0.483766233766,0.272727272727,0.698492462312,0.470588235294
Alan Williams,112,3026,637,1295,637,1292,0,3,458,649,403,722,1125,117,108,216,196,310.0,1732.0,1653.0,10.2,6.7,16.9,30.5655320555,17.0699933906,27.6629543952,22.4127891606,9.49322538004,2.17703238599,8.20819563781,10.7275280899,30.5135492399,113.741011236,92.6401520159,1.31599471249,3.38215465962,4.69814937211,8.42035690681,17.1183079974,8.42035690681,17.0786516854,0.0,0.039656311963,6.05419695968,8.57898215466,5.32716457369,9.54395241243,14.8711169861,1.54659616656,1.42762723067,2.85525446134,2.59087904825,4.09781890284,22.8949107733,54.7907070912,0.501158301158,0.0023166023166,0.491891891892,0.493034055728,0.0,0.705701078582,0.491891891892
Alec Burks,68,2100,423,855,376,705,47,150,398,495,149,248,397,165,76,24,157,163.0,1291.0,1260.0,9.2,1.6,10.8,27.8451428571,8.81128571429,13.677047619,11.3225714286,17.0085714286,2.08638095238,1.17276190476,12.5272380952,30.0540952381,120.502333333,106.907,4.1470952381,-0.0568095238095,4.09028571429,8.05714285714,16.2857142857,7.1619047619,13.4285714286,0.895238095238,2.85714285714,7.58095238095,9.42857142857,2.8380952381,4.72380952381,7.5619047619,3.14285714286,1.44761904762,0.457142857143,2.99047619048,3.10476190476,24.5904761905,60.1696495153,0.578947368421,0.175438596491,0.494736842105,0.533333333333,0.313333333333,0.80404040404,0.522222222222
Alex Kirk,101,2552,386,791,351,652,35,139,203,297,191,494,685,64,36,168,132,229.0,1010.0,934.0,4.7,5.3,9.9,18.7885579937,9.14290752351,22.2655956113,15.8636755486,5.13769592476,0.939890282132,6.5224137931,12.597531348,20.9655956113,107.625979624,93.9521551724,0.241810344828,4.04098746082,4.26285266458,6.05015673981,12.3981191223,5.50156739812,10.2194357367,0.548589341693,2.17868338558,3.18181818182,4.65517241379,2.99373040752,7.74294670846,10.736677116,1.00313479624,0.564263322884,2.63322884013,2.06896551724,3.58934169279,15.8307210031,54.7912507595,0.375474083439,0.175726927939,0.48798988622,0.538343558282,0.251798561151,0.683501683502,0.510113780025
Alex Len,60,1470,225,418,224,409,1,9,132,199,145,272,417,50,12,125,93,155.0,583.0,565.0,3.5,2.6,6.1,22.1224489796,11.805170068,21.2219047619,16.5342857143,7.2293877551,0.5,8.63401360544,15.9847619048,20.707755102,111.54,95.667755102,1.46367346939,5.20489795918,6.66857142857,6.12244897959,11.3741496599,6.09523809524,11.1292517007,0.0272108843537,0.244897959184,3.59183673469,5.41496598639,3.94557823129,7.40136054422,11.3469387755,1.36054421769,0.326530612245,3.40136054422,2.5306122449,4.21768707483,15.8639455782,57.6588337685,0.476076555024,0.0215311004785,0.538277511962,0.547677261614,0.111111111111,0.663316582915,0.539473684211
