Player,Season,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,S_R_H,S_R_W,cm_per_kg
A.J. Hammons,2016-17,24,132,3201,613,1138,607,1115,6,23,361,523,314,616,930,104,50,343,271,325,1593,1448,6.9,6.8,13.8,25.47482037,11.3265542,21.72930334,16.59309591,7.49740706,0.96972821,11.14033115,16.42189941,26.14707904,108.3316151,93.74173696,1.183786317,6.818275539,7.977507029,7.660106217,14.22055608,7.585129647,13.93314589,0.07497657,0.287410184,4.511090284,6.535457669,3.923773821,7.697594502,11.62136832,1.299593877,0.624804749,4.286160575,3.386441737,4.061230865,19.90627929,58.21857732,0.459578207,0.020210896,0.538664323,0.544394619,0.260869565,0.690248566,0.541300527,213,118,1.805084746
Aaron Gordon,2014-15,19,38,1187,189,382,173,337,16,45,76,180,102,201,303,75,34,39,55,90,470,469,2.1,3.3,5.4,20.4,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,108.9,88.6,2.8,6.7,9.6,6.368997473,12.87278854,5.829823083,11.35636057,0.539174389,1.51642797,2.561078349,6.065711879,3.437236731,6.773378265,10.210615,2.527379949,1.145745577,1.314237574,1.853411963,3.032855939,15.83824768,50.95403296,0.471204188,0.117801047,0.494764398,0.513353116,0.355555556,0.422222222,0.515706806,206,102,2.019607843
Adreian Payne,2014-15,23,138,2759,447,850,386,701,61,149,277,367,211,524,735,85,76,141,187,297,1232,1117,7,6.2,13.2,20.87549837,10.48568322,21.50065241,16.06067416,5.171221457,1.831061979,7.067741935,17.02098586,20.71649148,108.9787242,91.35465748,1.359514317,5.295070678,6.654584995,6.480608916,12.32330555,5.596230518,10.16310257,0.884378398,2.160202972,4.015947807,5.320768394,3.059079377,7.596955419,10.6560348,1.232330555,1.101848496,2.04421892,2.71112722,4.305907938,17.86154404,60.90085815,0.431764706,0.175294118,0.525882353,0.55064194,0.409395973,0.754768392,0.561764706,208,111,1.873873874
Al-Farouq Aminu,2010-11,20,31,970,167,374,149,308,18,66,139,199,133,199,332,41,44,44,99,91,491,488,2,2.2,4.3,24.4,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,105.1,91,0,0,0,6.886597938,15.42268041,6.144329897,12.70103093,0.742268041,2.721649485,5.731958763,8.206185567,5.484536082,8.206185567,13.69072165,1.690721649,1.81443299,1.81443299,4.082474227,3.75257732,20.24742268,53.1891845,0.532085561,0.176470588,0.446524064,0.483766234,0.272727273,0.698492462,0.470588235,206,98,2.102040816
Alec Burks,2011-12,20,68,2100,423,855,376,705,47,150,398,495,149,248,397,165,76,24,157,163,1291,1260,9.2,1.6,10.8,27.84514286,8.811285714,13.67704762,11.32257143,17.00857143,2.086380952,1.172761905,12.5272381,30.05409524,120.5023333,106.907,4.147095238,-0.056809524,4.090285714,8.057142857,16.28571429,7.161904762,13.42857143,0.895238095,2.857142857,7.580952381,9.428571429,2.838095238,4.723809524,7.561904762,3.142857143,1.447619048,0.457142857,2.99047619,3.104761905,24.59047619,60.16964952,0.578947368,0.175438596,0.494736842,0.533333333,0.313333333,0.804040404,0.522222222,198,88,2.25
Alex Len,2013-14,20,60,1470,225,418,224,409,1,9,132,199,145,272,417,50,12,125,93,155,583,565,3.5,2.6,6.1,22.12244898,11.80517007,21.22190476,16.53428571,7.229387755,0.5,8.634013605,15.9847619,20.7077551,111.54,95.6677551,1.463673469,5.204897959,6.668571429,6.12244898,11.37414966,6.095238095,11.1292517,0.027210884,0.244897959,3.591836735,5.414965986,3.945578231,7.401360544,11.34693878,1.360544218,0.326530612,3.401360544,2.530612245,4.217687075,15.86394558,57.65883377,0.476076555,0.0215311,0.538277512,0.547677262,0.111111111,0.663316583,0.539473684,216,102,2.117647059
Alex Poythress,2016-17,23,112,2480,356,646,327,550,29,96,225,328,201,396,597,51,44,76,149,302,966,902,5.8,4.3,10.1,16.87524194,9.968629032,15.75298387,12.98629032,3.961532258,1.061854839,4.362419355,15.64612903,18.8983871,110.426371,95.30596774,1.801370968,3.176451613,5.00733871,5.741935484,10.41935484,5.274193548,8.870967742,0.467741935,1.548387097,3.629032258,5.290322581,3.241935484,6.387096774,9.629032258,0.822580645,0.709677419,1.225806452,2.403225806,4.870967742,15.58064516,61.11448527,0.507739938,0.148606811,0.551083591,0.594545455,0.302083333,0.68597561,0.573529412,203,107,1.897196262
Allen Crabbe,2013-14,21,98,3402,533,1195,324,648,209,547,262,320,85,474,559,219,84,57,182,165,1537,1380,8.6,4.9,13.6,19.90455614,3.051940035,16.57757202,10.00097002,13.43339212,1.454232804,1.725455614,11.74226925,22.94979424,113.3964139,99.43974133,5.264638448,2.135126396,7.398677249,6.266901822,14.0505585,3.80952381,7.619047619,2.457378013,6.431510876,3.080540858,3.762492651,0.999412111,5.57319224,6.57260435,2.574955908,0.987654321,0.670194004,2.139917695,1.940035273,18.07172252,57.53106753,0.267782427,0.457740586,0.446025105,0.5,0.382084095,0.81875,0.533472803,198,95,2.084210526
Andre Drummond,2012-13,19,34,967,157,292,157,290,0,2,26,88,114,143,257,15,28,92,52,75,340,328,1.4,1.5,2.9,21.9,14.2,17,15.6,3.4,1.8,9.9,13.5,20.9,103.1,97.3,0.7,5.3,6,6.494312306,12.07859359,6.494312306,11.9958635,0,0.082730093,1.07549121,3.640124095,4.715615305,5.915201655,10.63081696,0.620475698,1.158221303,3.805584281,2.15098242,3.10237849,14.06411582,51.40299952,0.301369863,0.006849315,0.537671233,0.54137931,0,0.295454545,0.537671233,208,122,1.704918033
Andre Roberson,2013-14,22,105,2970,382,741,332,598,50,143,198,340,309,736,1045,119,164,150,183,274,1012,1058,6.2,7.6,13.7,23.54744108,12.64383838,29.20276094,21.05757576,8.438922559,3.31013468,5.449494949,16.90996633,18.94986532,111.6181145,87.90558923,3.052996633,6.498888889,9.551885522,5.144781145,9.97979798,4.471380471,8.053872054,0.673400673,1.925925926,2.666666667,4.579124579,4.161616162,9.912457912,14.07407407,1.602693603,2.208754209,2.02020202,2.464646465,3.69023569,13.62962963,56.81562991,0.458839406,0.192982456,0.515519568,0.555183946,0.34965035,0.582352941,0.54925776,201,95,2.115789474
Andrew Goudelock,2011-12,23,71,2512,568,1253,340,684,228,569,171,208,50,241,291,288,71,20,187,124,1535,1472,9.2,2,11.3,25.09323248,2.35183121,10.36648089,6.559156051,24.17125796,1.655493631,0.759156051,11.84140127,31.07914013,114.5816879,106.7366242,3.130971338,-1.252388535,1.926751592,9.044585987,19.9522293,5.414012739,10.89171975,3.630573248,9.060509554,2.722929936,3.312101911,0.796178344,3.837579618,4.633757962,4.585987261,1.130573248,0.318471338,2.977707006,1.974522293,24.44267516,57.08356886,0.166001596,0.454110136,0.453312051,0.497076023,0.400702988,0.822115385,0.544293695,188,90,2.088888889
Andrew Harrison,2016-17,22,79,2261,222,597,153,409,69,188,285,367,45,168,213,298,61,17,173,189,798,861,4.4,3.9,8.3,15.58204334,2.271517028,8.1,5.36377709,25.03281734,1.840557276,0.812074303,17.72229102,21.3120743,111.1114551,96.71764706,3.844891641,2.737151703,6.582043344,3.927465723,10.56169836,2.706766917,7.2357364,1.220698806,3.325961964,5.042016807,6.492702344,0.796107917,2.972136223,3.76824414,5.272003538,1.07916851,0.30075188,3.060592658,3.343653251,14.11764706,52.60521042,0.614740369,0.314907873,0.371859296,0.37408313,0.367021277,0.776566757,0.429648241,198,95,2.084210526
Andrew Nicholson,2012-13,23,93,2918,655,1151,626,1075,29,76,388,522,207,500,707,80,44,163,234,272,1727,1499,10.2,4.1,14.4,27.61291981,9.027964359,20.47179575,14.89705278,7.205209047,0.883207676,6.070185058,14.03046607,28.78666895,116.1345785,99.79413982,2.625154215,0.989033585,3.55013708,8.97875257,15.77793009,8.581220014,14.73612063,0.397532557,1.041809459,5.318711446,7.155586018,2.837559973,6.854009596,9.691569568,1.096641535,0.603152844,2.234407128,3.207676491,3.72858122,23.67374914,62.54164615,0.453518679,0.06602954,0.569070374,0.582325581,0.381578947,0.743295019,0.581668115,206,108,1.907407407
Andrew Wiggins,2014-15,19,35,1148,189,422,146,296,43,126,176,227,76,129,205,54,41,34,80,94,597,564,3.2,1.7,4.9,21.4,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,116.1,102.8,5.4,3,8.5,6.585365854,14.70383275,5.087108014,10.31358885,1.49825784,4.390243902,6.132404181,7.909407666,2.648083624,4.494773519,7.142857143,1.881533101,1.428571429,1.18466899,2.787456446,3.275261324,20.80139373,57.19705679,0.537914692,0.298578199,0.447867299,0.493243243,0.341269841,0.775330396,0.498815166,203,90,2.255555556
Anthony Bennett,2013-14,20,35,950,202,379,166,283,36,96,124,177,86,199,285,34,24,43,65,80,564,488,3.5,2.2,5.7,28.3,10.3,24,17.1,8.8,1.5,4.6,12.3,27.5,117.6,89.6,5.3,3.2,8.5,8.505263158,15.95789474,6.989473684,11.91578947,1.515789474,4.042105263,5.221052632,7.452631579,3.621052632,8.378947368,12,1.431578947,1.010526316,1.810526316,2.736842105,3.368421053,23.74736842,61.72299072,0.46701847,0.253298153,0.53298153,0.586572438,0.375,0.700564972,0.580474934,203,108,1.87962963
Anthony Brown,2015-16,23,144,4200,518,1211,300,670,218,541,308,410,139,552,691,231,99,23,228,257,1562,1479,8.1,5.9,13.9,23.72328571,5.814047619,27.0232381,16.33638095,18.53314286,2.446714286,1.080047619,28.57633333,34.33647619,185.4897619,182.7078095,3.213619048,3.137285714,6.350904762,4.933333333,11.53333333,2.857142857,6.380952381,2.076190476,5.152380952,2.933333333,3.904761905,1.323809524,5.257142857,6.580952381,2.2,0.942857143,0.219047619,2.171428571,2.447619048,14.87619048,56.13051603,0.338563171,0.446738233,0.427745665,0.447761194,0.402957486,0.751219512,0.517753922,198,97,2.041237113
Anthony Davis,2012-13,19,40,1281,210,337,207,317,3,20,144,203,119,296,415,50,54,186,41,78,567,550,5.9,4.1,9.9,35.1,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,139,80.7,7.8,10.8,18.7,6.557377049,10.52302888,6.463700234,9.898516784,0.093676815,0.6245121,4.496487119,6.338797814,3.715846995,9.242779079,12.95862607,1.56128025,1.68618267,5.807962529,1.280249805,2.43559719,17.70491803,66.49934322,0.602373887,0.059347181,0.623145401,0.652996845,0.15,0.709359606,0.627596439,208,99,2.101010101
Archie Goodwin,2013-14,19,33,1048,157,357,140,293,17,64,135,212,48,104,152,88,36,15,101,97,466,467,1.6,1.5,3.1,16.9,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,100.1,99.1,1.2,1.2,2.4,5.992366412,13.6259542,5.34351145,11.18320611,0.648854962,2.442748092,5.152671756,8.091603053,1.832061069,3.969465649,5.801526718,3.358778626,1.374045802,0.572519084,3.854961832,3.702290076,17.78625954,51.74558053,0.593837535,0.179271709,0.43977591,0.4778157,0.265625,0.636792453,0.463585434,196,89,2.202247191
