Player,Tm,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,3PAr,FTr
Alex Abrines,OKC,0.392961877,0.425531915,0.380566802,0.897959184,0.530791789,4.572511848,11.63601896,1.36492891,3.207582938,3.207582938,8.428436019,1.501421801,1.672037915,0.614218009,2.320379147,2.934597156,1.36492891,1.262559242,0.272985782,1.126066351,3.890047393,13.85402844,55.99073257,0.724340176,0.143695015
Quincy Acy,TOT,0.411764706,0.4125,0.411111111,0.75,0.520588235,4.516129032,10.96774194,2.129032258,5.161290323,2.387096774,5.806451613,2.903225806,3.870967742,1.290322581,6.129032258,7.419354839,1.161290323,0.903225806,0.967741935,1.35483871,4.322580645,14.32258065,56.51731161,0.529411765,0.352941176
Steven Adams,OKC,0.570992366,0.571865443,0,0.610894942,0.570992366,5.635830892,9.870238594,5.635830892,9.855169527,0,0.015069067,2.365843449,3.872750105,4.249476769,5.017999163,9.267475931,1.295939724,1.326077857,1.175387191,2.200083717,2.938467978,13.63750523,58.91313405,0.001526718,0.392366412
Arron Afflalo,SAC,0.44047619,0.457249071,0.410596026,0.892473118,0.514285714,4.215189873,9.569620253,2.802531646,6.129113924,1.412658228,3.440506329,1.891139241,2.118987342,0.205063291,2.643037975,2.848101266,1.77721519,0.478481013,0.159493671,0.956962025,2.369620253,11.73417722,55.86652781,0.35952381,0.221428571
Alexis Ajinca,NOP,0.5,0.511494253,0,0.725,0.5,5.48630137,10.97260274,5.48630137,10.7260274,0,0.246575342,1.787671233,2.465753425,2.835616438,8.075342466,10.9109589,0.739726027,1.232876712,1.356164384,1.910958904,4.746575342,12.76027397,52.91411043,0.02247191,0.224719101
Cole Aldrich,MIN,0.523255814,0.523255814,0,0.681818182,0.523255814,3.050847458,5.830508475,3.050847458,5.830508475,0,0,1.016949153,1.491525424,3.457627119,7.254237288,10.71186441,1.694915254,1.694915254,1.559322034,1.152542373,5.762711864,7.118644068,54.87040134,0,0.255813953
LaMarcus Aldridge,SAS,0.476644423,0.480362538,0.410714286,0.811808118,0.487607245,7.708779443,16.17301927,7.354175589,15.30963597,0.354603854,0.863383298,3.391862955,4.178158458,2.682655246,5.39614561,8.078800857,2.143040685,0.709207709,1.372162741,1.510920771,2.435974304,19.1640257,53.199685,0.053384175,0.258341277
Lavoy Allen,IND,0.458333333,0.461077844,0,0.696969697,0.458333333,3.182548794,6.943742824,3.182548794,6.902411022,0,0.041331803,0.950631458,1.363949483,4.339839265,4.75315729,9.092996556,2.355912744,0.743972445,0.991963261,1.198622273,3.223880597,7.315729047,48.48783695,0.005952381,0.196428571
Tony Allen,MEM,0.460504202,0.478743068,0.277777778,0.615384615,0.473109244,5.153605016,11.19122257,4.871473354,10.17554859,0.282131661,1.015673981,1.504702194,2.445141066,3.122257053,4.231974922,7.354231975,1.843260188,2.163009404,0.545454545,1.880877743,3.347962382,12.09404389,49.29469488,0.090756303,0.218487395
Al-Farouq Aminu,POR,0.392703863,0.44488189,0.330188679,0.705882353,0.467811159,3.715736041,9.461928934,2.294416244,5.157360406,1.421319797,4.304568528,1.949238579,2.76142132,1.563451777,7.593908629,9.157360406,2.010152284,1.218274112,0.893401015,1.908629442,2.07106599,10.80203046,50.5857295,0.454935622,0.291845494
