Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Quincy Acy,TEX,26.0,12,12.0,383.0,6.4,12.8,0.5,1.5,3.9,0.39,4.9,8.9,0.547,5.2,6.8,0.764,1.7,7.5,9.2,1.3,1.8,2.3,3.1,3.9,19.5,2017
Cliff Alexander,TOT,21.0,40,13.0,1082.0,8.6,16.5,0.517,0.3,1.1,0.242,8.3,15.4,0.537,3.7,5.0,0.733,2.5,9.3,11.8,1.8,0.6,1.3,3.5,3.1,21.0,2017
Cliff Alexander,LIN,21.0,18,6.0,544.0,9.9,17.3,0.573,0.5,1.8,0.296,9.4,15.6,0.604,4.1,5.4,0.756,2.5,9.3,11.8,2.1,0.7,0.9,3.3,2.6,24.5,2017
Cliff Alexander,ERI,21.0,22,7.0,538.0,7.2,15.7,0.455,0.0,0.4,0.0,7.2,15.3,0.467,3.2,4.6,0.706,2.5,9.3,11.8,1.5,0.5,1.7,3.7,3.5,17.5,2017
Daniel Alexander,NAS,25.0,15,4.0,193.0,4.1,10.4,0.393,1.7,5.0,0.333,2.4,5.4,0.448,0.6,0.7,0.75,1.1,6.5,7.6,2.4,1.5,0.6,1.9,6.2,10.4,2017
Chris Anderson,GRR,24.0,39,19.0,668.0,4.4,7.9,0.558,0.2,0.6,0.273,4.3,7.3,0.581,2.3,3.3,0.694,4.6,5.7,10.3,1.3,1.4,2.0,1.8,7.4,11.3,2017
Mike Anderson,SWR,25.0,28,6.0,427.0,1.8,5.4,0.328,1.0,3.6,0.279,0.8,1.8,0.429,0.8,1.2,0.714,0.8,3.6,4.5,2.9,1.0,0.3,1.4,4.7,5.4,2017
Ryan Arcidiacono,AUS,22.0,47,34.0,1293.0,3.0,6.4,0.472,1.1,2.6,0.421,1.9,3.7,0.507,1.3,1.6,0.814,0.7,4.2,4.9,4.9,1.1,0.1,2.1,2.7,8.5,2017
J.J. Avila,WCB,25.0,21,16.0,582.0,5.5,12.4,0.443,1.4,3.9,0.365,4.1,8.5,0.478,1.3,1.5,0.84,2.2,5.4,7.7,2.6,1.5,0.9,1.7,4.7,13.7,2017
J.J. Avila,TOT,25.0,41,18.0,857.0,5.9,12.9,0.458,1.3,3.9,0.323,4.7,9.0,0.516,1.5,1.8,0.795,2.5,6.4,8.9,3.2,1.6,0.8,1.6,4.7,14.6,2017
