Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Q. Acy,TEX,26.0,12,12,383,68,136,0.5,16,41,0.39,52,95,0.547,0.559,55,72,0.764,18,80,98,14,19,24,33,41,207,2017
C. Alexander,TOT,21.0,40,13,1082,257,497,0.517,8,33,0.242,249,464,0.537,0.525,110,150,0.733,75,280,355,54,18,40,106,93,632,2017
C. Alexander,LIN,21.0,18,6,544,150,262,0.573,8,27,0.296,142,235,0.604,0.588,62,82,0.756,38,141,179,32,10,14,50,40,370,2017
C. Alexander,ERI,21.0,22,7,538,107,235,0.455,0,6,0.0,107,229,0.467,0.455,48,68,0.706,37,139,176,22,8,26,56,53,262,2017
D. Alexander,NAS,25.0,15,4,193,22,56,0.393,9,27,0.333,13,29,0.448,0.473,3,4,0.75,6,35,41,13,8,3,10,33,56,2017
C. Anderson,GRR,24.0,39,19,668,82,147,0.558,3,11,0.273,79,136,0.581,0.568,43,62,0.694,86,105,191,25,26,37,34,137,210,2017
M. Anderson,SWR,25.0,28,6,427,21,64,0.328,12,43,0.279,9,21,0.429,0.422,10,14,0.714,10,43,53,34,12,3,17,56,64,2017
R. Arcidiacono,AUS,22.0,47,34,1293,108,229,0.472,40,95,0.421,68,134,0.507,0.559,48,59,0.814,24,152,176,177,41,5,76,97,304,2017
J. Avila,TEX,25.0,20,2,275,52,107,0.486,7,30,0.233,45,77,0.584,0.519,14,19,0.737,24,64,88,34,15,6,12,35,125,2017
J. Avila,WCB,25.0,21,16,582,89,201,0.443,23,63,0.365,66,138,0.478,0.5,21,25,0.84,36,88,124,42,24,14,27,76,222,2017
J. Avila,TOT,25.0,41,18,857,141,308,0.458,30,93,0.323,111,215,0.516,0.506,35,44,0.795,60,152,212,76,39,20,39,111,347,2017
C. Ayers,REN,25.0,7,0,109,7,27,0.259,5,22,0.227,2,5,0.4,0.352,4,4,1.0,1,4,5,3,2,0,2,6,23,2017
C. Ayers,MAI,25.0,26,4,535,40,130,0.308,34,106,0.321,6,24,0.25,0.438,6,7,0.857,14,39,53,25,13,3,15,21,120,2017
C. Ayers,TOT,25.0,33,4,644,47,157,0.299,39,128,0.305,8,29,0.276,0.424,10,11,0.909,15,43,58,28,15,3,17,27,143,2017
J. Ayres,LOS,29.0,22,10,504,108,162,0.667,2,5,0.4,106,157,0.675,0.673,64,69,0.928,48,110,158,16,7,15,30,74,282,2017
R. Baker,WES,23.0,4,4,144,17,40,0.425,8,18,0.444,9,22,0.409,0.525,8,14,0.571,3,18,21,28,11,2,14,11,50,2017
G. Bakumanya,NAS,19.0,40,13,416,48,102,0.471,0,0,0.0,48,102,0.471,0.471,13,18,0.722,52,78,130,13,12,10,21,72,109,2017
W. Baldwin,IOW,20.0,33,22,931,153,353,0.433,23,74,0.311,130,279,0.466,0.466,98,131,0.748,22,120,142,175,44,12,104,88,427,2017
