Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Yr
A. Abrines,SG,23,OKC,68,6,1055,6.2,15.9,0.393,4.4,11.5,0.381,1.9,4.4,0.426,2.0,2.3,0.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,113.0,110.0,2017
Q. Acy,PF,26,TOT,38,1,558,6.0,14.6,0.412,3.2,7.7,0.411,2.8,6.8,0.413,3.9,5.1,0.75,1.7,8.1,9.8,1.5,1.2,1.3,1.8,5.7,19.0,109.0,110.0,2017
Q. Acy,PF,26,DAL,6,0,48,5.4,18.4,0.294,1.1,7.6,0.143,4.3,10.8,0.4,2.2,3.3,0.667,2.2,6.5,8.7,0.0,0.0,0.0,2.2,9.8,14.1,71.0,113.0,2017
Q. Acy,PF,26,BRK,32,1,510,6.0,14.2,0.425,3.3,7.7,0.434,2.7,6.5,0.414,4.0,5.3,0.754,1.7,8.3,9.9,1.7,1.3,1.4,1.8,5.4,19.4,113.0,110.0,2017
S. Adams,C,23,OKC,80,80,2389,7.7,13.5,0.571,0.0,0.0,0.0,7.7,13.4,0.572,3.2,5.3,0.611,5.8,6.8,12.6,1.8,1.8,1.6,3.0,4.0,18.6,114.0,107.0,2017
A. Afflalo,SG,31,SAC,61,45,1580,5.9,13.4,0.44,2.0,4.8,0.411,3.9,8.6,0.457,2.7,3.0,0.892,0.3,3.7,4.0,2.5,0.7,0.2,1.3,3.3,16.5,109.0,116.0,2017
A. Ajinca,C,28,NOP,39,15,584,7.5,14.9,0.5,0.0,0.3,0.0,7.5,14.6,0.511,2.4,3.4,0.725,3.9,11.0,14.8,1.0,1.7,1.8,2.6,6.5,17.4,101.0,104.0,2017
C. Aldrich,C,28,MIN,62,0,531,4.3,8.2,0.523,0.0,0.0,0.0,4.3,8.2,0.523,1.4,2.1,0.682,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10.0,118.0,107.0,2017
L. Aldridge,PF,31,SAS,72,72,2335,10.9,22.9,0.477,0.5,1.2,0.411,10.4,21.7,0.48,4.8,5.9,0.812,3.8,7.6,11.4,3.0,1.0,1.9,2.1,3.4,27.1,111.0,104.0,2017
L. Allen,PF,27,IND,61,5,871,4.4,9.7,0.458,0.0,0.1,0.0,4.4,9.6,0.461,1.3,1.9,0.697,6.0,6.6,12.6,3.3,1.0,1.4,1.7,4.5,10.2,114.0,110.0,2017
T. Allen,SG,35,MEM,71,66,1914,7.4,16.2,0.461,0.4,1.5,0.278,7.0,14.7,0.479,2.2,3.5,0.615,4.5,6.1,10.6,2.7,3.1,0.8,2.7,4.8,17.5,101.0,105.0,2017
A. Aminu,SF,26,POR,61,25,1773,5.1,13.1,0.393,2.0,5.9,0.33,3.2,7.1,0.445,2.7,3.8,0.706,2.2,10.5,12.6,2.8,1.7,1.2,2.6,2.9,14.9,100.0,108.0,2017
C. Andersen,C,38,CLE,12,0,114,3.9,9.6,0.409,0.0,1.3,0.0,3.9,8.3,0.474,4.4,6.1,0.714,3.9,9.6,13.6,2.2,2.2,3.1,2.2,8.8,12.3,107.0,104.0,2017
A. Anderson,SF,34,LAC,30,0,308,4.9,13.0,0.375,2.3,7.1,0.318,2.6,5.8,0.444,1.9,2.6,0.75,0.5,3.4,3.9,1.8,0.5,0.0,1.1,5.7,14.0,100.0,114.0,2017
