Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
A.J. Guyton,22,CHI,NBA,2000-01,33,8,630,78,192,51,123,27,69,15,18,10,26,36,64,9,5,24,35,198,0.40625,0.414634146,0.391304348,0.833333333,0.4765625
A.J. Hammons,24,DAL,NBA,2016-17,22,0,163,17,42,12,32,5,10,9,20,8,28,36,4,1,13,10,21,48,0.404761905,0.375,0.5,0.45,0.464285714
A.J. Price,23,IND,NBA,2009-10,56,2,865,145,354,85,180,60,174,60,75,12,76,88,106,35,3,59,53,410,0.40960452,0.472222222,0.344827586,0.8,0.494350282
Aaron Brooks,23,HOU,NBA,2007-08,51,0,608,93,225,57,116,36,109,42,49,13,43,56,87,13,5,44,69,264,0.413333333,0.49137931,0.330275229,0.857142857,0.493333333
Aaron Gordon,19,ORL,NBA,2014-15,47,8,797,93,208,80,160,13,48,44,61,46,123,169,33,21,22,38,83,243,0.447115385,0.5,0.270833333,0.721311475,0.478365385
Aaron Gray,23,CHI,NBA,2007-08,61,1,613,103,204,103,203,0,1,56,99,70,98,168,41,21,16,57,117,262,0.504901961,0.507389163,0.0,0.565656566,0.504901961
Aaron Harrison,21,CHO,NBA,2015-16,21,0,93,5,19,2,9,3,10,5,12,4,11,15,2,6,0,4,10,18,0.263157895,0.222222222,0.3,0.416666667,0.342105263
Aaron Miles,22,GSW,NBA,2005-06,19,0,118,6,18,6,18,0,0,4,4,0,14,14,24,4,1,11,13,16,0.333333333,0.333333333,0.0,1.0,0.333333333
Acie Law,23,ATL,NBA,2007-08,56,6,865,95,237,88,203,7,34,38,48,12,45,57,113,29,0,56,73,235,0.400843882,0.433497537,0.205882353,0.791666667,0.415611814
Adam Harrington,22,TOT,NBA,2002-03,19,0,111,11,37,6,23,5,14,3,4,1,7,8,12,2,1,2,8,30,0.297297297,0.260869565,0.357142857,0.75,0.364864865
Adam Morrison,22,CHA,NBA,2006-07,78,23,2326,355,944,268,686,87,258,120,169,54,176,230,163,28,6,130,179,917,0.376059322,0.390670554,0.337209302,0.710059172,0.422139831
Adonis Thomas,20,TOT,NBA,2013-14,6,1,37,6,14,5,9,1,5,1,1,0,3,3,3,0,0,1,6,14,0.428571429,0.555555556,0.2,1.0,0.464285714
Adreian Payne,23,TOT,NBA,2014-15,32,22,739,91,220,90,211,1,9,30,46,48,114,162,30,19,9,44,88,213,0.413636364,0.426540284,0.111111111,0.652173913,0.415909091
Al Horford,21,ATL,NBA,2007-08,81,77,2540,333,668,333,663,0,5,155,212,248,537,785,124,60,76,137,267,821,0.498502994,0.502262443,0.0,0.731132075,0.498502994
Al Jefferson,20,BOS,NBA,2004-05,71,1,1051,195,369,195,366,0,3,85,135,119,193,312,24,22,55,66,195,475,0.528455285,0.532786885,0.0,0.62962963,0.528455285
Al Thornton,24,LAC,NBA,2007-08,79,31,2158,374,871,331,741,43,130,214,288,98,260,358,98,46,43,128,195,1005,0.429391504,0.446693657,0.330769231,0.743055556,0.454075775
Al-Farouq Aminu,20,LAC,NBA,2010-11,81,14,1452,160,406,115,263,45,143,92,119,75,192,267,60,59,25,103,121,457,0.39408867,0.437262357,0.314685315,0.773109244,0.449507389
Alan Anderson,23,CHA,NBA,2005-06,36,7,564,75,181,51,123,24,58,33,41,23,47,70,32,11,4,32,48,207,0.414364641,0.414634146,0.413793103,0.804878049,0.480662983
Alan Williams,23,PHO,NBA,2015-16,10,0,68,10,24,10,24,0,0,9,14,14,24,38,5,4,5,6,15,29,0.416666667,0.416666667,0.0,0.642857143,0.416666667
Alando Tucker,23,PHO,NBA,2007-08,6,0,48,8,22,7,18,1,4,5,6,4,4,8,0,0,1,0,2,22,0.363636364,0.388888889,0.25,0.833333333,0.386363636
Alec Burks,20,UTA,NBA,2011-12,59,0,939,153,357,138,312,15,45,104,143,57,75,132,55,27,5,51,84,425,0.428571429,0.442307692,0.333333333,0.727272727,0.449579832
Alex Abrines,23,OKC,NBA,2016-17,68,6,1055,134,341,40,94,94,247,44,49,18,68,86,40,37,8,33,114,406,0.392961877,0.425531915,0.380566802,0.897959184,0.530791789
Alex Acker,23,DET,NBA,2005-06,5,0,35,4,16,3,11,1,5,0,0,1,4,5,4,1,0,4,4,9,0.25,0.272727273,0.2,0.0,0.28125
Alex Garcia,23,SAS,NBA,2003-04,2,0,13,1,7,1,7,0,0,1,2,0,0,0,0,2,0,1,0,3,0.142857143,0.142857143,0.0,0.5,0.142857143
Alex Kirk,23,CLE,NBA,2014-15,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,0.25,0.25,0.0,1.0,0.25
Alex Len,20,PHO,NBA,2013-14,42,3,362,33,78,33,78,0,0,20,31,39,60,99,4,4,18,26,68,86,0.423076923,0.423076923,0.0,0.64516129,0.423076923
Alex Poythress,23,PHI,NBA,2016-17,6,1,157,25,54,19,35,6,19,8,10,11,18,29,5,3,2,3,14,64,0.462962963,0.542857143,0.315789474,0.8,0.518518519
Alex Scales,27,SAS,NBA,2005-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Alex Stepheson,28,TOT,NBA,2015-16,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,0.333333333,0.333333333,0.0,0.333333333,0.333333333
Alexander Johnson,23,MEM,NBA,2006-07,59,19,753,91,169,91,169,0,0,78,118,50,131,181,17,25,35,47,137,260,0.538461538,0.538461538,0.0,0.661016949,0.538461538
Alexey Shved,24,MIN,NBA,2012-13,77,16,1840,236,635,151,347,85,288,108,150,41,134,175,286,54,27,147,117,665,0.371653543,0.435158501,0.295138889,0.72,0.438582677
Alexis Ajinca,20,CHA,NBA,2008-09,31,4,182,25,69,25,67,0,2,20,28,9,21,30,3,7,6,12,34,70,0.362318841,0.373134328,0.0,0.714285714,0.362318841
Allan Ray,22,BOS,NBA,2006-07,47,5,710,100,259,52,143,48,116,42,55,18,51,69,43,20,3,42,85,290,0.386100386,0.363636364,0.413793103,0.763636364,0.478764479
Allen Crabbe,21,POR,NBA,2013-14,15,0,100,12,33,6,19,6,14,3,4,1,8,9,6,2,1,3,10,33,0.363636364,0.315789474,0.428571429,0.75,0.454545455
Alonzo Gee,22,WAS,NBA,2009-10,11,2,182,28,59,21,50,7,9,18,29,15,18,33,7,7,1,10,13,81,0.474576271,0.42,0.777777778,0.620689655,0.533898305
Alton Ford,20,PHO,NBA,2001-02,53,0,452,61,118,61,118,0,0,42,57,32,75,107,7,6,7,32,99,164,0.516949153,0.516949153,0.0,0.736842105,0.516949153
Alvin Jones,23,PHI,NBA,2001-02,23,2,126,8,20,8,20,0,0,10,20,13,23,36,3,3,9,11,35,26,0.4,0.4,0.0,0.5,0.4
Amar'e Stoudemire,20,PHO,NBA,2002-03,82,71,2570,392,830,390,820,2,10,320,484,250,471,721,78,62,87,189,269,1106,0.472289157,0.475609756,0.2,0.661157025,0.473493976
Amir Johnson,18,DET,NBA,2005-06,3,0,39,7,10,5,7,2,3,4,4,3,1,4,3,0,2,4,7,20,0.7,0.714285714,0.666666667,1.0,0.8
Anderson Varejao,22,CLE,NBA,2004-05,54,0,863,99,193,99,191,0,2,68,127,109,148,257,27,41,38,26,122,266,0.512953368,0.518324607,0.0,0.535433071,0.512953368
Andray Blatche,19,WAS,NBA,2005-06,29,0,175,26,67,23,54,3,13,10,12,12,26,38,10,5,7,12,36,65,0.388059701,0.425925926,0.230769231,0.833333333,0.410447761
Andre Barrett,22,TOT,NBA,2004-05,38,1,483,45,124,31,72,14,52,14,19,11,29,40,69,19,1,27,51,118,0.362903226,0.430555556,0.269230769,0.736842105,0.419354839
Andre Brown,25,SEA,NBA,2006-07,38,0,271,42,74,42,73,0,1,9,15,26,48,74,2,6,4,29,26,93,0.567567568,0.575342466,0.0,0.6,0.567567568
Andre Dawkins,23,MIA,NBA,2014-15,4,0,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3,0.166666667,0.0,0.166666667,0.0,0.25
