Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
A.J. Hammons,24,DAL,NBA,2016-17,22,0,163,17,42,12,32,5,10,9,20,8,28,36,4,1,13,10,21,48,0.404761904762,0.375,0.5,0.45,0.464285714286
Aaron Gordon,19,ORL,NBA,2014-15,47,8,797,93,208,80,160,13,48,44,61,46,123,169,33,21,22,38,83,243,0.447115384615,0.5,0.270833333333,0.72131147541,0.478365384615
Aaron Harrison,21,CHO,NBA,2015-16,21,0,93,5,19,2,9,3,10,5,12,4,11,15,2,6,0,4,10,18,0.263157894737,0.222222222222,0.3,0.416666666667,0.342105263158
Adonis Thomas,20,TOT,NBA,2013-14,6,1,37,6,14,5,9,1,5,1,1,0,3,3,3,0,0,1,6,14,0.428571428571,0.555555555556,0.2,1.0,0.464285714286
Adreian Payne,23,TOT,NBA,2014-15,32,22,739,91,220,90,211,1,9,30,46,48,114,162,30,19,9,44,88,213,0.413636363636,0.42654028436,0.111111111111,0.652173913043,0.415909090909
Al-Farouq Aminu,20,LAC,NBA,2010-11,81,14,1452,160,406,115,263,45,143,92,119,75,192,267,60,59,25,103,121,457,0.394088669951,0.437262357414,0.314685314685,0.773109243697,0.449507389163
Alan Williams,23,PHO,NBA,2015-16,10,0,68,10,24,10,24,0,0,9,14,14,24,38,5,4,5,6,15,29,0.416666666667,0.416666666667,0.0,0.642857142857,0.416666666667
Alec Burks,20,UTA,NBA,2011-12,59,0,939,153,357,138,312,15,45,104,143,57,75,132,55,27,5,51,84,425,0.428571428571,0.442307692308,0.333333333333,0.727272727273,0.449579831933
Alex Kirk,23,CLE,NBA,2014-15,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,0.25,0.25,0.0,1.0,0.25
Alex Len,20,PHO,NBA,2013-14,42,3,362,33,78,33,78,0,0,20,31,39,60,99,4,4,18,26,68,86,0.423076923077,0.423076923077,0.0,0.645161290323,0.423076923077
Alex Poythress,23,PHI,NBA,2016-17,6,1,157,25,54,19,35,6,19,8,10,11,18,29,5,3,2,3,14,64,0.462962962963,0.542857142857,0.315789473684,0.8,0.518518518519
Alex Stepheson,28,TOT,NBA,2015-16,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,0.333333333333,0.333333333333,0.0,0.333333333333,0.333333333333
Allen Crabbe,21,POR,NBA,2013-14,15,0,100,12,33,6,19,6,14,3,4,1,8,9,6,2,1,3,10,33,0.363636363636,0.315789473684,0.428571428571,0.75,0.454545454545
Andre Dawkins,23,MIA,NBA,2014-15,4,0,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3,0.166666666667,0.0,0.166666666667,0.0,0.25
Andre Drummond,19,DET,NBA,2012-13,60,10,1243,208,342,207,340,1,2,59,159,169,288,457,30,59,95,57,144,476,0.608187134503,0.608823529412,0.5,0.37106918239,0.609649122807
Andre Roberson,22,OKC,NBA,2013-14,40,16,399,33,68,31,55,2,13,7,10,36,58,94,15,19,10,19,74,75,0.485294117647,0.563636363636,0.153846153846,0.7,0.5
Andrew Goudelock,23,LAL,NBA,2011-12,40,0,419,68,174,40,99,28,75,11,12,5,26,31,20,4,0,21,32,175,0.390804597701,0.40404040404,0.373333333333,0.916666666667,0.471264367816
Andrew Harrison,22,MEM,NBA,2016-17,72,18,1474,117,360,74,204,43,156,148,194,23,113,136,198,54,20,85,194,425,0.325,0.362745098039,0.275641025641,0.762886597938,0.384722222222
Andrew Nicholson,23,ORL,NBA,2012-13,75,28,1249,256,486,256,486,0,0,75,94,69,189,258,44,24,32,79,133,587,0.526748971193,0.526748971193,0.0,0.797872340426,0.526748971193
Andrew Wiggins,19,MIN,NBA,2014-15,82,82,2969,497,1137,458,1011,39,126,354,466,134,240,374,170,86,50,177,190,1387,0.437115215479,0.453016815035,0.309523809524,0.759656652361,0.454265611258
Andy Rautins,24,NYK,NBA,2010-11,5,0,24,3,7,2,3,1,4,1,2,0,1,1,3,1,0,7,0,8,0.428571428571,0.666666666667,0.25,0.5,0.5
Anthony Bennett,20,CLE,NBA,2013-14,52,0,663,80,225,67,172,13,53,44,69,49,106,155,17,21,8,47,93,217,0.355555555556,0.389534883721,0.245283018868,0.63768115942,0.384444444444
Anthony Brown,23,LAL,NBA,2015-16,29,11,599,39,126,19,56,20,70,17,20,9,61,70,19,14,5,15,34,115,0.309523809524,0.339285714286,0.285714285714,0.85,0.388888888889
Anthony Davis,19,NOH,NBA,2012-13,64,60,1846,349,676,349,670,0,6,169,225,165,357,522,63,75,112,89,158,867,0.516272189349,0.520895522388,0.0,0.751111111111,0.516272189349
Archie Goodwin,19,PHO,NBA,2013-14,52,0,533,76,167,71,131,5,36,37,55,25,62,87,20,20,11,44,45,194,0.455089820359,0.541984732824,0.138888888889,0.672727272727,0.47005988024
Arinze Onuaku,26,TOT,NBA,2013-14,5,0,30,1,5,1,5,0,0,1,2,2,6,8,3,0,0,1,3,3,0.2,0.2,0.0,0.5,0.2
