Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Davis,53.0,96,36,1894,271,613,0.442088091354,83,272,0.305147058824,188,341,1.095,0.509787928222,144,191,0.753926701571,66,236,302,85,74,19,133,172,769
A.J. Guyton,24.0,30,21,727,126,283,0.445229681979,41,97,0.422680412371,85,186,0.457,0.517667844523,34,45,0.755555555556,21,48,69,68,14,5,43,49,327
A.J. Hammons,24.0,15,14,385,80,156,0.512820512821,5,20,0.25,75,136,0.551,0.528846153846,16,20,0.8,29,83,112,17,5,30,21,69,181
A.J. Ussery,23.0,3,0,18,1,3,0.333333333333,0,0,0.0,1,3,0.333,0.333333333333,0,0,0.0,4,1,5,2,1,2,5,3,2
Aaron Bowen,24.0,36,11,579,85,164,0.518292682927,3,10,0.3,82,154,0.532,0.52743902439,18,30,0.6,40,58,98,23,21,6,36,93,191
Aaron Brooks,23.0,2,2,85,18,38,0.473684210526,5,9,0.555555555556,13,29,0.448,0.539473684211,5,8,0.625,2,8,10,10,0,0,8,10,46
Aaron Craft,47.0,80,80,2858,322,717,0.449093444909,54,203,0.266009852217,268,514,1.043,0.486750348675,168,210,0.8,46,338,384,529,184,39,157,221,866
Aaron Dotson,23.0,3,0,24,1,6,0.166666666667,0,2,0.0,1,4,0.25,0.166666666667,0,0,0.0,2,2,4,1,2,1,2,2,2
Aaron Harrison,129.0,104,72,3298,570,1368,0.416666666667,182,498,0.36546184739,388,870,2.637,0.483187134503,498,604,0.824503311258,66,390,456,256,132,36,210,282,1820
Aaron Johnson,0.0,18,2,318,34,76,0.447368421053,11,29,0.379310344828,23,47,0.489,0.519736842105,26,38,0.684210526316,7,12,19,67,19,0,39,42,105
Aaron Miles,49.0,44,37,1342,195,407,0.479115479115,4,16,0.25,191,391,0.985,0.484029484029,136,173,0.78612716763,38,111,149,327,72,5,104,116,530
Aaron Owens,28.0,12,6,330,45,96,0.46875,2,9,0.222222222222,43,87,0.494,0.479166666667,47,62,0.758064516129,3,29,32,53,19,0,29,39,139
Aaron Thomas,25.0,43,27,1130,246,548,0.448905109489,43,138,0.311594202899,203,410,0.495,0.488138686131,85,111,0.765765765766,15,137,152,69,35,7,62,61,620
Abdel Nader,23.0,40,40,1340,295,660,0.44696969697,99,284,0.348591549296,196,376,0.521,0.52196969697,162,204,0.794117647059,29,219,248,155,40,33,146,101,851
Abdoulaye N'Diaye,0.0,44,0,651,88,146,0.602739726027,0,0,0.0,88,146,0.603,0.602739726027,18,30,0.6,67,107,174,20,12,41,49,124,194
Abdul Gaddy,0.0,46,32,1251,160,327,0.489296636086,47,112,0.419642857143,113,215,0.526,0.561162079511,49,85,0.576470588235,48,99,147,231,37,9,106,125,416
Abdul Mills,0.0,39,15,994,111,272,0.408088235294,28,90,0.311111111111,83,182,0.456,0.459558823529,48,72,0.666666666667,24,68,92,143,48,1,62,81,298
Abdulai Jalloh,0.0,120,41,2601,407,901,0.451720310766,55,175,0.314285714286,352,726,1.957,0.482241953385,446,551,0.80943738657,79,332,411,326,168,19,300,344,1315
Adam Haluska,0.0,11,11,424,69,165,0.418181818182,17,56,0.303571428571,52,109,0.477,0.469696969697,51,58,0.879310344828,17,35,52,32,9,0,22,23,206
Adam Harrington,103.0,100,49,2736,474,1110,0.427027027027,125,296,0.422297297297,349,814,1.611,0.483333333333,226,281,0.804270462633,47,190,237,227,85,14,165,237,1299
Adam Koch,0.0,117,80,3160,297,634,0.468454258675,27,93,0.290322580645,270,541,1.51,0.489747634069,264,322,0.819875776398,210,422,632,163,94,69,155,253,885
Adam Liberty,0.0,16,0,188,16,51,0.313725490196,0,4,0.0,16,47,0.34,0.313725490196,9,19,0.473684210526,3,16,19,29,8,1,18,29,41
Adam Parada,23.0,23,1,317,45,87,0.51724137931,0,0,0.0,45,87,0.517,0.51724137931,29,40,0.725,24,54,78,12,12,16,26,55,119
Adam Spanich,30.0,11,0,99,7,28,0.25,5,15,0.333333333333,2,13,0.154,0.339285714286,3,3,1.0,2,6,8,7,0,1,7,9,22
Adam Woodbury,23.0,24,5,301,28,61,0.459016393443,0,2,0.0,28,59,0.475,0.459016393443,15,22,0.681818181818,26,59,85,12,7,6,13,38,71
Adam Zahn,0.0,4,0,48,8,15,0.533333333333,0,0,0.0,8,15,0.533,0.533333333333,7,12,0.583333333333,5,5,10,0,2,0,3,9,23
