Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OBPM,DBPM,BPM,FG_PER_40,FGA_PER_40,2P_PER_40,2PA_PER_40,3P_PER_40,3PA_PER_40,FT_PER_40,FTA_PER_40,ORB_PER_40,DRB_PER_40,TRB_PER_40,AST_PER_40,STL_PER_40,BLK_PER_40,TOV_PER_40,PF_PER_40,PTS_PER_40,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,TS_PCT,3PAr,FTr
A.J. Guyton,96,3260,559,1240,355,736,204,504,241,302,0,0,317,285,91,44,218,111,1563,0.0,8.2,3.6,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,6.858895706,15.21472393,4.355828221,9.030674847,2.503067485,6.18404908,2.957055215,3.705521472,0.0,0.0,3.889570552,3.496932515,1.116564417,0.539877301,2.674846626,1.36196319,19.17791411,0.450806451613,0.482336956522,0.404761904762,0.798013245033,0.533064516129,56.9241302954,0.406451612903,0.243548387097
A.J. Hammons,132,3201,613,1138,607,1115,6,23,361,523,314,616,930,104,50,343,271,325,1593,1448.0,6.9,6.8,13.8,25.47482037,11.3265542,21.72930334,16.59309591,7.49740706,0.96972821,11.14033115,16.42189941,26.14707904,1.183786317,6.818275539,7.977507029,7.660106217,14.22055608,7.585129647,13.93314589,0.07497657,0.287410184,4.511090284,6.535457669,3.923773821,7.697594502,11.62136832,1.299593877,0.624804749,4.286160575,3.386441737,4.061230865,19.90627929,0.538664323374,0.544394618834,0.260869565217,0.690248565966,0.541300527241,58.2185773178,0.0202108963093,0.459578207381
Aaron Brooks,115,3759,500,1164,295,616,205,548,306,367,0,0,397,470,127,16,0,0,1511,0.0,7.7,4.5,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32056398,12.38627294,3.139132748,6.554934823,2.181431232,5.831338122,3.256185156,3.905293961,0.0,0.0,4.2245278,5.001330141,1.351423251,0.170258047,0.0,0.0,16.07874435,0.429553264605,0.478896103896,0.374087591241,0.83378746594,0.517611683849,56.9982195129,0.470790378007,0.31529209622
Aaron Gordon,38,1187,189,382,173,337,16,45,76,180,102,201,303,75,34,39,55,90,470,469.0,2.1,3.3,5.4,20.4,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,2.8,6.7,9.6,6.368997473,12.87278854,5.829823083,11.35636057,0.539174389,1.51642797,2.561078349,6.065711879,3.437236731,6.773378265,10.210615,2.527379949,1.145745577,1.314237574,1.853411963,3.032855939,15.83824768,0.494764397906,0.513353115727,0.355555555556,0.422222222222,0.515706806283,50.9540329575,0.11780104712,0.471204188482
Aaron Gray,113,2360,434,789,434,789,0,0,241,405,0,0,790,147,41,130,0,0,1109,0.0,5.6,9.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.355932203,13.37288136,7.355932203,13.37288136,0.0,0.0,4.084745763,6.86440678,0.0,0.0,13.38983051,2.491525424,0.694915254,2.203389831,0.0,0.0,18.79661017,0.550063371356,0.550063371356,0.0,0.595061728395,0.550063371356,57.3304383788,0.0,0.513307984791
Aaron Harrison,79,2307,320,781,199,420,121,361,218,277,40,178,218,129,86,18,100,146,979,887.0,5.8,4.3,10.3,17.44815778,2.12592111,8.409276116,5.461118336,11.38240139,2.304638058,0.769440832,9.902730819,22.3574339,5.312960555,2.413914174,7.726874729,5.548331166,13.54139575,3.450368444,7.282184655,2.097962722,6.259211097,3.779800607,4.802774166,0.693541396,3.086259211,3.779800607,2.236671001,1.491114001,0.312093628,1.733853489,2.531426095,16.97442566,0.409731113956,0.47380952381,0.335180055402,0.787003610108,0.487195902689,54.2153996101,0.462227912932,0.354673495519
Acie Law,122,3760,605,1298,491,979,114,319,345,454,0,0,379,545,156,2,0,0,1669,0.0,7.9,5.7,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.436170213,13.80851064,5.223404255,10.41489362,1.212765957,3.393617021,3.670212766,4.829787234,0.0,0.0,4.031914894,5.79787234,1.659574468,0.021276596,0.0,0.0,17.75531915,0.466101694915,0.501532175689,0.35736677116,0.759911894273,0.51001540832,55.7165366948,0.245762711864,0.349768875193
Adam Harrington,91,2435,363,928,168,371,195,557,215,294,0,0,295,167,105,21,0,0,1136,0.0,4.3,3.3,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.963039014,15.24435318,2.759753593,6.094455852,3.203285421,9.149897331,3.531827515,4.829568789,0.0,0.0,4.845995893,2.743326489,1.724845996,0.344969199,0.0,0.0,18.66119097,0.391163793103,0.452830188679,0.350089766607,0.731292517007,0.496228448276,53.7186956193,0.600215517241,0.316810344828
Adam Morrison,95,2908,669,1329,541,981,128,348,401,527,0,0,485,188,66,35,0,0,1867,0.0,10.5,3.6,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.202200825,18.28060523,7.441540578,13.49381018,1.760660248,4.786795048,5.515818432,7.248968363,0.0,0.0,6.671251719,2.585969739,0.90784044,0.481430536,0.0,0.0,25.68088033,0.503386004515,0.551478083588,0.367816091954,0.760910815939,0.551542513168,59.8060068679,0.261851015801,0.396538750941
Adonis Thomas,55,1511,223,523,182,397,41,126,102,137,69,153,222,84,35,39,82,76,589,557.0,2.4,2.2,4.6,15.80966248,4.702250165,12.20966248,8.650562541,8.276637988,1.369887492,2.959099934,13.09774983,20.94315023,0.878424884,1.659099934,2.537524818,5.903375248,13.84513567,4.818001324,10.50959629,1.085373925,3.335539378,2.700198544,3.62673726,1.826604897,4.050297816,5.876902713,2.223692919,0.926538716,1.032428855,2.170747849,2.011912641,15.59232296,0.42638623327,0.458438287154,0.325396825397,0.744525547445,0.465583173996,50.4903305445,0.240917782027,0.261950286807
Adreian Payne,138,2759,447,850,386,701,61,149,277,367,211,524,735,85,76,141,187,297,1232,1117.0,7.0,6.2,13.2,20.87549837,10.48568322,21.50065241,16.06067416,5.171221457,1.831061979,7.067741935,17.02098586,20.71649148,1.359514317,5.295070678,6.654584995,6.480608916,12.32330555,5.596230518,10.16310257,0.884378398,2.160202972,4.015947807,5.320768394,3.059079377,7.596955419,10.6560348,1.232330555,1.101848496,2.04421892,2.71112722,4.305907938,17.86154404,0.525882352941,0.550641940086,0.409395973154,0.754768392371,0.561764705882,60.9008581485,0.175294117647,0.431764705882
Al Horford,109,2798,424,724,424,720,0,4,275,444,0,0,864,187,94,189,0,0,1123,0.0,7.0,10.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06147248,10.35025018,6.06147248,10.29306648,0.0,0.057183703,3.931379557,6.347390994,0.0,0.0,12.35167977,2.673338099,1.343817012,2.70192995,0.0,0.0,16.05432452,0.585635359116,0.588888888889,0.0,0.619369369369,0.585635359116,61.0750957188,0.00552486187845,0.613259668508
Al Thornton,124,2723,546,1034,483,890,63,144,366,522,0,0,641,87,103,740,0,0,1521,0.0,8.9,4.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.020565553,15.18912964,7.095115681,13.07381564,0.925449871,2.115313992,5.376423063,7.668013221,0.0,0.0,9.4160852,1.278002203,1.513037091,10.87036357,0.0,0.0,22.34300404,0.528046421663,0.542696629213,0.4375,0.701149425287,0.558510638298,60.1813750317,0.139264990329,0.504835589942
Al-Farouq Aminu,31,970,167,374,149,308,18,66,139,199,133,199,332,41,44,44,99,91,491,488.0,2.0,2.2,4.3,24.4,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,0.0,0.0,0.0,6.886597938,15.42268041,6.144329897,12.70103093,0.742268041,2.721649485,5.731958763,8.206185567,5.484536082,8.206185567,13.69072165,1.690721649,1.81443299,1.81443299,4.082474227,3.75257732,20.24742268,0.446524064171,0.483766233766,0.272727272727,0.698492462312,0.470588235294,53.1891845047,0.176470588235,0.532085561497
Alan Anderson,126,3380,384,763,336,632,48,131,379,456,0,0,524,307,101,23,0,0,1195,0.0,8.4,4.4,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.544378698,9.029585799,3.976331361,7.479289941,0.568047337,1.550295858,4.485207101,5.396449704,0.0,0.0,6.201183432,3.633136095,1.195266272,0.272189349,0.0,0.0,14.14201183,0.503276539974,0.53164556962,0.36641221374,0.831140350877,0.534731323722,62.004483002,0.171690694626,0.597640891219
Alan Williams,112,3026,637,1295,637,1292,0,3,458,649,403,722,1125,117,108,216,196,310,1732,1653.0,10.2,6.7,16.9,30.56553206,17.06999339,27.6629544,22.41278916,9.49322538,2.177032386,8.208195638,10.72752809,30.51354924,1.315994712,3.38215466,4.698149372,8.420356907,17.118308,8.420356907,17.07865169,0.0,0.039656312,6.05419696,8.578982155,5.327164574,9.543952412,14.87111699,1.546596167,1.427627231,2.855254461,2.590879048,4.097818903,22.89491077,0.491891891892,0.493034055728,0.0,0.705701078582,0.491891891892,54.7907070912,0.0023166023166,0.501158301158
Alando Tucker,134,4297,798,1663,697,1334,101,329,520,817,0,0,769,213,104,29,0,0,2217,0.0,9.3,9.2,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.428438445,15.48056784,6.488247615,12.41796602,0.940190831,3.062601815,4.840586456,7.605306027,0.0,0.0,7.158482662,1.982778683,0.968117291,0.269955783,0.0,0.0,20.63765418,0.479855682502,0.522488755622,0.306990881459,0.636474908201,0.510222489477,54.8089474309,0.197835237523,0.491280817799
Alec Burks,68,2100,423,855,376,705,47,150,398,495,149,248,397,165,76,24,157,163,1291,1260.0,9.2,1.6,10.8,27.84514286,8.811285714,13.67704762,11.32257143,17.00857143,2.086380952,1.172761905,12.5272381,30.05409524,4.147095238,-0.056809524,4.090285714,8.057142857,16.28571429,7.161904762,13.42857143,0.895238095,2.857142857,7.580952381,9.428571429,2.838095238,4.723809524,7.561904762,3.142857143,1.447619048,0.457142857,2.99047619,3.104761905,24.59047619,0.494736842105,0.533333333333,0.313333333333,0.80404040404,0.522222222222,60.1696495153,0.175438596491,0.578947368421
Alex Acker,88,3023,449,983,329,691,120,292,255,310,0,0,495,249,133,38,0,0,1273,0.0,5.9,3.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.941118095,13.00694674,4.353291432,9.143235197,1.587826662,3.863711545,3.374131657,4.101885544,0.0,0.0,6.549784982,3.294740324,1.759841217,0.502811776,0.0,0.0,16.84419451,0.456765005086,0.476121562952,0.41095890411,0.822580645161,0.517802644964,56.8608182955,0.297049847406,0.315361139369
Alex Kirk,101,2552,386,791,351,652,35,139,203,297,191,494,685,64,36,168,132,229,1010,934.0,4.7,5.3,9.9,18.78855799,9.142907524,22.26559561,15.86367555,5.137695925,0.939890282,6.522413793,12.59753135,20.96559561,0.241810345,4.040987461,4.262852665,6.05015674,12.39811912,5.501567398,10.21943574,0.548589342,2.178683386,3.181818182,4.655172414,2.993730408,7.742946708,10.73667712,1.003134796,0.564263323,2.63322884,2.068965517,3.589341693,15.830721,0.48798988622,0.538343558282,0.251798561151,0.683501683502,0.510113780025,54.7912507595,0.175726927939,0.375474083439
Alex Len,60,1470,225,418,224,409,1,9,132,199,145,272,417,50,12,125,93,155,583,565.0,3.5,2.6,6.1,22.12244898,11.80517007,21.22190476,16.53428571,7.229387755,0.5,8.634013605,15.9847619,20.7077551,1.463673469,5.204897959,6.668571429,6.12244898,11.37414966,6.095238095,11.1292517,0.027210884,0.244897959,3.591836735,5.414965986,3.945578231,7.401360544,11.34693878,1.360544218,0.326530612,3.401360544,2.530612245,4.217687075,15.86394558,0.538277511962,0.547677261614,0.111111111111,0.663316582915,0.539473684211,57.6588337685,0.0215311004785,0.476076555024
Alex Poythress,112,2480,356,646,327,550,29,96,225,328,201,396,597,51,44,76,149,302,966,902.0,5.8,4.3,10.1,16.87524194,9.968629032,15.75298387,12.98629032,3.961532258,1.061854839,4.362419355,15.64612903,18.8983871,1.801370968,3.176451613,5.00733871,5.741935484,10.41935484,5.274193548,8.870967742,0.467741935,1.548387097,3.629032258,5.290322581,3.241935484,6.387096774,9.629032258,0.822580645,0.709677419,1.225806452,2.403225806,4.870967742,15.58064516,0.551083591331,0.594545454545,0.302083333333,0.685975609756,0.573529411765,61.1144852718,0.148606811146,0.50773993808
