Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%
Austin Nichols,62,1586,294,547,292,536,2,11,94,161,97,216,313,43,33,135,72,101,684,591,2.9,3,5.9,20.70666168,7.158626779,16.00652274,11.64429571,4.94956,1.057642821,6.351066989,12.11860691,21.54888669,124.4139978,110.969457,0.344892168,2.903559621,3.1503632,11760,21880,11680,21440,80,440,3760,6440,3880,8640,12520,1720,1320,5400,2880,4040,27360,55.35413699,0.294332724,0.020109689,0.537477148,0.544776119,0.181818182,0.583850932,0.539305302
Caleb Swanigan,69,2014,352,703,293,546,59,157,231,304,150,568,718,167,27,36,208,172,994,981,4.4,4.5,9,20.03560079,8.890268123,29.60263158,20.01161867,15.58952334,0.8,1.595134062,20.25317776,25.78128103,105.8202582,93.32209533,2.115739821,4.751688183,6.867428004,6.991062562,13.96226415,5.819265144,10.84409136,1.171797418,3.11817279,4.587884806,6.037735849,2.979145978,11.28103277,14.26017875,3.316782522,0.536246276,0.714995035,4.131082423,3.416087388,19.74180735,59.39576462,0.432432432,0.223328592,0.500711238,0.536630037,0.375796178,0.759868421,0.542674253
D.J. Wilson,69,1337,192,366,143,231,49,135,58,71,62,165,227,58,25,70,52,98,491,470,3.4,1.9,5.3,20.33096485,6.247643979,15.94031414,11.13358265,8.583769634,1.174794316,5.610471204,11.52341062,18.90957367,120.4271503,102.4727749,4.359087509,4.239566193,8.598653702,5.744203441,10.94988781,4.278234854,6.910994764,1.465968586,4.038893044,1.735228123,2.124158564,1.854899028,4.936424832,6.791323859,1.735228123,0.747943156,2.094240838,1.555721765,2.931937173,14.68960359,61.80142987,0.193989071,0.368852459,0.524590164,0.619047619,0.362962963,0.816901408,0.591530055
De'Aaron Fox,36,1064,214,448,197,379,17,69,156,211,20,122,142,165,53,7,87,90,601,608,3,2.1,5.1,22.6,2,12.2,7.2,28.6,2.7,0.7,13.7,27.6,113.4,96.8,5.1,3.7,8.7,8.045112782,16.84210526,7.406015038,14.2481203,0.639097744,2.593984962,5.864661654,7.932330827,0.751879699,4.586466165,5.338345865,6.203007519,1.992481203,0.263157895,3.270676692,3.383458647,22.59398496,55.56171881,0.470982143,0.154017857,0.477678571,0.519788918,0.246376812,0.739336493,0.496651786
Dennis Smith Jr.,32,1114,191,420,136,267,55,153,143,200,26,120,146,197,62,14,108,67,580,621,3.1,0.9,4,23.1,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,112.2,109.1,6.3,1,7.3,6.858168761,15.08078995,4.883303411,9.587073609,1.97486535,5.493716338,5.13464991,7.181328546,0.933572711,4.308797127,5.242369838,7.073608618,2.226211849,0.502692998,3.877917415,2.405745063,20.82585278,57.08661417,0.476190476,0.364285714,0.454761905,0.509363296,0.359477124,0.715,0.520238095
Dillon Brooks,109,3153,587,1243,454,876,133,367,305,384,174,321,495,279,96,53,234,320,1612,1575,8.8,4.2,13.1,21.11370124,6.657944814,11.23929591,9.039295909,17.96669838,1.737900412,1.779352997,14.27250238,26.43415794,113.4191881,102.4762448,4.892546781,1.416999683,6.241896606,7.446875991,15.76910879,5.759594037,11.1132255,1.687281954,4.655883286,3.869330796,4.871550904,2.207421503,4.072312084,6.279733587,3.539486204,1.217887726,0.672375515,2.968601332,4.059625753,20.45036473,57.08377008,0.308930008,0.295253419,0.47224457,0.51826484,0.36239782,0.794270833,0.525744167
Donovan Mitchell,65,1689,265,634,167,336,98,298,130,165,71,198,269,145,95,20,86,166,758,736,4.4,3.7,8.2,19.42468917,5.585257549,13.29005329,9.470159858,15.86998224,2.919893428,0.984902309,11.43516874,22.1946714,116.0349911,93.54493783,5.239786856,4.019893428,9.259680284,6.275902901,15.01480166,3.95500296,7.957371226,2.320899941,7.057430432,3.078744819,3.907637655,1.681468324,4.689165187,6.370633511,3.433984606,2.249851983,0.473653049,2.036708111,3.931320308,17.95145056,53.63713558,0.260252366,0.470031546,0.417981073,0.49702381,0.32885906,0.787878788,0.495268139
Dwayne Bacon,69,1987,418,930,329,645,89,285,214,292,81,263,344,111,68,5,145,128,1139,1041,4.2,2.5,6.7,19.91313538,4.689783593,14.66059386,9.775188727,11.00875692,1.9,0.25218923,11.99124308,29.10437846,107.7872169,104.0405133,2.76532461,0.302918973,3.11751384,8.414695521,18.72169099,6.623049824,12.98439859,1.791645697,5.737292401,4.308002013,5.878208354,1.630598893,5.294413689,6.925012582,2.234524409,1.368897836,0.100654253,2.918973327,2.576748868,22.92903875,53.80356738,0.313978495,0.306451613,0.449462366,0.510077519,0.312280702,0.732876712,0.497311828
Edmond Sumner,59,1542,205,478,168,348,37,130,217,297,30,173,203,223,68,22,128,132,664,696,3.1,2.4,5.6,10.0385214,3.95849546,10.21614786,7.161932555,24.66141375,2.734046693,0.543385214,21.67120623,22.72509728,91.54571984,100.3190013,-0.347016861,2.494747082,2.102529183,5.317769131,12.39948119,4.357976654,9.027237354,0.959792477,3.372243839,5.629053178,7.704280156,0.778210117,4.48767834,5.265888457,5.784695201,1.763942931,0.570687419,3.320363165,3.424124514,17.22438392,54.54425971,0.621338912,0.271966527,0.428870293,0.482758621,0.284615385,0.730639731,0.467573222
Edrice Adebayo,38,1145,170,284,170,283,0,1,154,236,118,186,304,32,26,57,64,99,494,489,3.3,2.3,5.6,22,11.2,17.2,14.2,4.7,1.2,4.9,13.9,18.5,123.6,95.7,4.2,5.3,9.5,5.938864629,9.92139738,5.938864629,9.886462882,0,0.034934498,5.379912664,8.244541485,4.122270742,6.497816594,10.62008734,1.11790393,0.908296943,1.991266376,2.23580786,3.458515284,17.25764192,63.68605611,0.830985915,0.003521127,0.598591549,0.600706714,0,0.652542373,0.598591549
