Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,y
A.J. Hammons,132,3201,613,1138,607,1115,6,23,361,523,314,616,930,104,50,343,271,325,1593,1448,6.9,6.8,13.8,25.47482037,11.3265542,21.72930334,16.59309591,7.49740706,0.96972821,11.14033115,16.42189941,26.14707904,108.3316151,93.74173696,1.183786317,6.818275539,7.977507029,7.660106217,14.22055608,7.585129647,13.93314589,0.07497657,0.287410184,4.511090284,6.535457669,3.923773821,7.697594502,11.62136832,1.299593877,0.624804749,4.286160575,3.386441737,4.061230865,19.90627929,58.21857732,0.459578207,0.020210896,0.538664323,0.544394619,0.260869565,0.690248566,0.541300527,0.5
Aaron Gordon,38,1187,189,382,173,337,16,45,76,180,102,201,303,75,34,39,55,90,470,469,2.1,3.3,5.4,20.4,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,108.9,88.6,2.8,6.7,9.6,6.368997473,12.87278854,5.829823083,11.35636057,0.539174389,1.51642797,2.561078349,6.065711879,3.437236731,6.773378265,10.210615,2.527379949,1.145745577,1.314237574,1.853411963,3.032855939,15.83824768,50.95403296,0.471204188,0.117801047,0.494764398,0.513353116,0.355555556,0.422222222,0.515706806,0.270833333
Aaron Harrison,79,2307,320,781,199,420,121,361,218,277,40,178,218,129,86,18,100,146,979,887,5.8,4.3,10.3,17.44815778,2.12592111,8.409276116,5.461118336,11.38240139,2.304638058,0.769440832,9.902730819,22.3574339,117.6416125,97.33684439,5.312960555,2.413914174,7.726874729,5.548331166,13.54139575,3.450368444,7.282184655,2.097962722,6.259211097,3.779800607,4.802774166,0.693541396,3.086259211,3.779800607,2.236671001,1.491114001,0.312093628,1.733853489,2.531426095,16.97442566,54.21539961,0.354673496,0.462227913,0.409731114,0.473809524,0.335180055,0.78700361,0.487195903,0.3
Adonis Thomas,55,1511,223,523,182,397,41,126,102,137,69,153,222,84,35,39,82,76,589,557,2.4,2.2,4.6,15.80966248,4.702250165,12.20966248,8.650562541,8.276637988,1.369887492,2.959099934,13.09774983,20.94315023,104.9386499,98.41078756,0.878424884,1.659099934,2.537524818,5.903375248,13.84513567,4.818001324,10.50959629,1.085373925,3.335539378,2.700198544,3.62673726,1.826604897,4.050297816,5.876902713,2.223692919,0.926538716,1.032428855,2.170747849,2.011912641,15.59232296,50.49033054,0.261950287,0.240917782,0.426386233,0.458438287,0.325396825,0.744525547,0.465583174,0.2
Adreian Payne,138,2759,447,850,386,701,61,149,277,367,211,524,735,85,76,141,187,297,1232,1117,7,6.2,13.2,20.87549837,10.48568322,21.50065241,16.06067416,5.171221457,1.831061979,7.067741935,17.02098586,20.71649148,108.9787242,91.35465748,1.359514317,5.295070678,6.654584995,6.480608916,12.32330555,5.596230518,10.16310257,0.884378398,2.160202972,4.015947807,5.320768394,3.059079377,7.596955419,10.6560348,1.232330555,1.101848496,2.04421892,2.71112722,4.305907938,17.86154404,60.90085815,0.431764706,0.175294118,0.525882353,0.55064194,0.409395973,0.754768392,0.561764706,0.111111111
Al-Farouq Aminu,31,970,167,374,149,308,18,66,139,199,133,199,332,41,44,44,99,91,491,488,2,2.2,4.3,24.4,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,105.1,91,0,0,0,6.886597938,15.42268041,6.144329897,12.70103093,0.742268041,2.721649485,5.731958763,8.206185567,5.484536082,8.206185567,13.69072165,1.690721649,1.81443299,1.81443299,4.082474227,3.75257732,20.24742268,53.1891845,0.532085561,0.176470588,0.446524064,0.483766234,0.272727273,0.698492462,0.470588235,0.314685315
Alan Williams,112,3026,637,1295,637,1292,0,3,458,649,403,722,1125,117,108,216,196,310,1732,1653,10.2,6.7,16.9,30.56553206,17.06999339,27.6629544,22.41278916,9.49322538,2.177032386,8.208195638,10.72752809,30.51354924,113.7410112,92.64015202,1.315994712,3.38215466,4.698149372,8.420356907,17.118308,8.420356907,17.07865169,0,0.039656312,6.05419696,8.578982155,5.327164574,9.543952412,14.87111699,1.546596167,1.427627231,2.855254461,2.590879048,4.097818903,22.89491077,54.79070709,0.501158301,0.002316602,0.491891892,0.493034056,0,0.705701079,0.491891892,0
Alec Burks,68,2100,423,855,376,705,47,150,398,495,149,248,397,165,76,24,157,163,1291,1260,9.2,1.6,10.8,27.84514286,8.811285714,13.67704762,11.32257143,17.00857143,2.086380952,1.172761905,12.5272381,30.05409524,120.5023333,106.907,4.147095238,-0.056809524,4.090285714,8.057142857,16.28571429,7.161904762,13.42857143,0.895238095,2.857142857,7.580952381,9.428571429,2.838095238,4.723809524,7.561904762,3.142857143,1.447619048,0.457142857,2.99047619,3.104761905,24.59047619,60.16964952,0.578947368,0.175438596,0.494736842,0.533333333,0.313333333,0.804040404,0.522222222,0.333333333
Alex Kirk,101,2552,386,791,351,652,35,139,203,297,191,494,685,64,36,168,132,229,1010,934,4.7,5.3,9.9,18.78855799,9.142907524,22.26559561,15.86367555,5.137695925,0.939890282,6.522413793,12.59753135,20.96559561,107.6259796,93.95215517,0.241810345,4.040987461,4.262852665,6.05015674,12.39811912,5.501567398,10.21943574,0.548589342,2.178683386,3.181818182,4.655172414,2.993730408,7.742946708,10.73667712,1.003134796,0.564263323,2.63322884,2.068965517,3.589341693,15.830721,54.79125076,0.375474083,0.175726928,0.487989886,0.538343558,0.251798561,0.683501684,0.51011378,0
Alex Len,60,1470,225,418,224,409,1,9,132,199,145,272,417,50,12,125,93,155,583,565,3.5,2.6,6.1,22.12244898,11.80517007,21.22190476,16.53428571,7.229387755,0.5,8.634013605,15.9847619,20.7077551,111.54,95.6677551,1.463673469,5.204897959,6.668571429,6.12244898,11.37414966,6.095238095,11.1292517,0.027210884,0.244897959,3.591836735,5.414965986,3.945578231,7.401360544,11.34693878,1.360544218,0.326530612,3.401360544,2.530612245,4.217687075,15.86394558,57.65883377,0.476076555,0.0215311,0.538277512,0.547677262,0.111111111,0.663316583,0.539473684,0
