Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,FTr,3PAr
A.J. Hammons,24,DAL,NBA,2016-17,22,0,163,17,42,12,32,5,10,9,20,8,28,36,4,1,13,10,21,48,0.404761904762,0.375,0.5,0.45,0.464285714286,3.75460122699,9.27607361963,2.65030674847,7.06748466258,1.10429447853,2.20858895706,1.98773006135,4.41717791411,1.76687116564,6.18404907975,7.9509202454,0.883435582822,0.220858895706,2.87116564417,2.20858895706,4.63803680982,10.6012269939,47.2440944882,0.47619047619,0.238095238095
Aaron Gordon,19,ORL,NBA,2014-15,47,8,797,93,208,80,160,13,48,44,61,46,123,169,33,21,22,38,83,243,0.447115384615,0.5,0.270833333333,0.72131147541,0.478365384615,4.20075282309,9.39523212045,3.61355081556,7.22710163112,0.587202007528,2.16813048934,1.98745294856,2.75533249686,2.07779171895,5.55583437892,7.63362609787,1.49058971142,0.948557089084,0.993726474279,1.71643663739,3.74905897114,10.9761606023,51.7373530915,0.293269230769,0.230769230769
Aaron Harrison,21,CHO,NBA,2015-16,21,0,93,5,19,2,9,3,10,5,12,4,11,15,2,6,0,4,10,18,0.263157894737,0.222222222222,0.3,0.416666666667,0.342105263158,1.93548387097,7.35483870968,0.774193548387,3.48387096774,1.16129032258,3.87096774194,1.93548387097,4.64516129032,1.54838709677,4.25806451613,5.8064516129,0.774193548387,2.32258064516,0.0,1.54838709677,3.87096774194,6.96774193548,37.0675453048,0.631578947368,0.526315789474
Adonis Thomas,20,TOT,NBA,2013-14,6,1,37,6,14,5,9,1,5,1,1,0,3,3,3,0,0,1,6,14,0.428571428571,0.555555555556,0.2,1.0,0.464285714286,5.83783783784,13.6216216216,4.86486486486,8.75675675676,0.972972972973,4.86486486486,0.972972972973,0.972972972973,0.0,2.91891891892,2.91891891892,2.91891891892,0.0,0.0,0.972972972973,5.83783783784,13.6216216216,48.4764542936,0.0714285714286,0.357142857143
Adreian Payne,23,TOT,NBA,2014-15,32,22,739,91,220,90,211,1,9,30,46,48,114,162,30,19,9,44,88,213,0.413636363636,0.42654028436,0.111111111111,0.652173913043,0.415909090909,4.43301759134,10.7171853857,4.38430311231,10.2787550744,0.0487144790257,0.438430311231,1.46143437077,2.24086603518,2.33829499323,5.55345060893,7.89174560217,1.46143437077,0.925575101488,0.438430311231,2.14343707713,4.28687415426,10.3761840325,44.3306693307,0.209090909091,0.0409090909091
Al-Farouq Aminu,20,LAC,NBA,2010-11,81,14,1452,160,406,115,263,45,143,92,119,75,192,267,60,59,25,103,121,457,0.394088669951,0.437262357414,0.314685314685,0.773109243697,0.449507389163,3.96694214876,10.0661157025,2.85123966942,6.52066115702,1.11570247934,3.54545454545,2.28099173554,2.95041322314,1.85950413223,4.76033057851,6.61983471074,1.48760330579,1.46280991736,0.619834710744,2.55371900826,3.0,11.3305785124,49.8516449952,0.293103448276,0.352216748768
Alan Williams,23,PHO,NBA,2015-16,10,0,68,10,24,10,24,0,0,9,14,14,24,38,5,4,5,6,15,29,0.416666666667,0.416666666667,0.0,0.642857142857,0.416666666667,5.29411764706,12.7058823529,5.29411764706,12.7058823529,0.0,0.0,4.76470588235,7.41176470588,7.41176470588,12.7058823529,20.1176470588,2.64705882353,2.11764705882,2.64705882353,3.17647058824,7.94117647059,15.3529411765,48.0769230769,0.583333333333,0.0
Alec Burks,20,UTA,NBA,2011-12,59,0,939,153,357,138,312,15,45,104,143,57,75,132,55,27,5,51,84,425,0.428571428571,0.442307692308,0.333333333333,0.727272727273,0.449579831933,5.86581469649,13.6869009585,5.29073482428,11.9616613419,0.575079872204,1.72523961661,3.98722044728,5.48242811502,2.18530351438,2.87539936102,5.0607028754,2.10862619808,1.03514376997,0.191693290735,1.9552715655,3.22044728435,16.2939297125,50.6048771195,0.40056022409,0.126050420168
Alex Kirk,23,CLE,NBA,2014-15,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,0.25,0.25,0.0,1.0,0.25,2.57142857143,10.2857142857,2.57142857143,10.2857142857,0.0,0.0,5.14285714286,5.14285714286,2.57142857143,0.0,2.57142857143,2.57142857143,0.0,0.0,0.0,2.57142857143,10.2857142857,40.9836065574,0.5,0.0
Alex Len,20,PHO,NBA,2013-14,42,3,362,33,78,33,78,0,0,20,31,39,60,99,4,4,18,26,68,86,0.423076923077,0.423076923077,0.0,0.645161290323,0.423076923077,3.2817679558,7.75690607735,3.2817679558,7.75690607735,0.0,0.0,1.98895027624,3.08287292818,3.87845303867,5.96685082873,9.8453038674,0.397790055249,0.397790055249,1.79005524862,2.58563535912,6.76243093923,8.55248618785,46.9227411611,0.397435897436,0.0
