Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,FG_PER_36,FGA_PER_36,2P_PER_36,2PA_PER_36,3P_PER_36,3PA_PER_36,FT_PER_36,FTA_PER_36,ORB_PER_36,DRB_PER_36,TRB_PER_36,AST_PER_36,STL_PER_36,BLK_PER_36,TOV_PER_36,PF_PER_36,PTS_PER_36,TS_PCT,3PAr,FTr
A.J. Guyton,22,CHI,NBA,2000-01,33,8,630,78,192,51,123,27,69,15,18,10,26,36,64,9,5,24,35,198,0.40625,0.414634146,0.391304348,0.833333333,0.4765625,4.457142857,10.97142857,2.914285714,7.028571429,1.542857143,3.942857143,0.857142857,1.028571429,0.571428571,1.485714286,2.057142857,3.657142857,0.514285714,0.285714286,1.371428571,2,11.31428571,49.51980792,0.359375,0.09375
A.J. Hammons,24,DAL,NBA,2016-17,22,0,163,17,42,12,32,5,10,9,20,8,28,36,4,1,13,10,21,48,0.404761905,0.375,0.5,0.45,0.464285714,3.754601227,9.27607362,2.650306748,7.067484663,1.104294479,2.208588957,1.987730061,4.417177914,1.766871166,6.18404908,7.950920245,0.883435583,0.220858896,2.871165644,2.208588957,4.63803681,10.60122699,47.24409449,0.238095238,0.476190476
Aaron Brooks,23,HOU,NBA,2007-08,51,0,608,93,225,57,116,36,109,42,49,13,43,56,87,13,5,44,69,264,0.413333333,0.49137931,0.330275229,0.857142857,0.493333333,5.506578947,13.32236842,3.375,6.868421053,2.131578947,6.453947368,2.486842105,2.901315789,0.769736842,2.546052632,3.315789474,5.151315789,0.769736842,0.296052632,2.605263158,4.085526316,15.63157895,53.5366645,0.484444444,0.217777778
Aaron Gordon,19,ORL,NBA,2014-15,47,8,797,93,208,80,160,13,48,44,61,46,123,169,33,21,22,38,83,243,0.447115385,0.5,0.270833333,0.721311475,0.478365385,4.200752823,9.39523212,3.613550816,7.227101631,0.587202008,2.168130489,1.987452949,2.755332497,2.077791719,5.555834379,7.633626098,1.490589711,0.948557089,0.993726474,1.716436637,3.749058971,10.9761606,51.73735309,0.230769231,0.293269231
Aaron Gray,23,CHI,NBA,2007-08,61,1,613,103,204,103,203,0,1,56,99,70,98,168,41,21,16,57,117,262,0.504901961,0.507389163,0,0.565656566,0.504901961,6.048939641,11.98042414,6.048939641,11.92169657,0,0.058727569,3.288743883,5.814029364,4.110929853,5.755301794,9.866231648,2.407830343,1.233278956,0.939641109,3.347471452,6.871125612,15.38662316,52.9164647,0.004901961,0.485294118
Aaron Harrison,21,CHO,NBA,2015-16,21,0,93,5,19,2,9,3,10,5,12,4,11,15,2,6,0,4,10,18,0.263157895,0.222222222,0.3,0.416666667,0.342105263,1.935483871,7.35483871,0.774193548,3.483870968,1.161290323,3.870967742,1.935483871,4.64516129,1.548387097,4.258064516,5.806451613,0.774193548,2.322580645,0,1.548387097,3.870967742,6.967741935,37.0675453,0.526315789,0.631578947
Acie Law,23,ATL,NBA,2007-08,56,6,865,95,237,88,203,7,34,38,48,12,45,57,113,29,0,56,73,235,0.400843882,0.433497537,0.205882353,0.791666667,0.415611814,3.953757225,9.863583815,3.662427746,8.448554913,0.29132948,1.415028902,1.58150289,1.997687861,0.499421965,1.87283237,2.372254335,4.702890173,1.206936416,0,2.330635838,3.038150289,9.780346821,45.52146289,0.143459916,0.202531646
Adam Harrington,22,TOT,NBA,2002-03,19,0,111,11,37,6,23,5,14,3,4,1,7,8,12,2,1,2,8,30,0.297297297,0.260869565,0.357142857,0.75,0.364864865,3.567567568,12,1.945945946,7.459459459,1.621621622,4.540540541,0.972972973,1.297297297,0.324324324,2.27027027,2.594594595,3.891891892,0.648648649,0.324324324,0.648648649,2.594594595,9.72972973,38.6996904,0.378378378,0.108108108
Adam Morrison,22,CHA,NBA,2006-07,78,23,2326,355,944,268,686,87,258,120,169,54,176,230,163,28,6,130,179,917,0.376059322,0.390670554,0.337209302,0.710059172,0.422139831,5.494411006,14.61049011,4.147893379,10.61736887,1.346517627,3.993121238,1.857265692,2.615649183,0.835769561,2.723989682,3.559759243,2.522785899,0.433361995,0.092863285,2.012037833,2.770421324,14.19260533,45.02337091,0.273305085,0.179025424
Adonis Thomas,20,TOT,NBA,2013-14,6,1,37,6,14,5,9,1,5,1,1,0,3,3,3,0,0,1,6,14,0.428571429,0.555555556,0.2,1,0.464285714,5.837837838,13.62162162,4.864864865,8.756756757,0.972972973,4.864864865,0.972972973,0.972972973,0,2.918918919,2.918918919,2.918918919,0,0,0.972972973,5.837837838,13.62162162,48.47645429,0.357142857,0.071428571
